id,artwork_id,engraving_id
82525,74,11
82526,74,19
82527,74,12
9709,75,2
9710,75,4
9711,75,5
9712,75,8
9713,75,12
9714,75,16
9715,75,19
13049,76,2
13050,76,7
13051,76,15
13052,76,19
9716,77,2
9717,77,4
9718,77,5
9719,77,8
9720,77,9
9721,77,12
9722,77,16
9723,77,19
11179,78,3
11180,78,15
11181,78,19
9724,79,2
9725,79,4
9726,79,5
9727,79,8
9728,79,9
9729,79,16
9730,79,19
13053,80,2
13054,80,15
13055,80,19
9731,81,2
9732,81,4
9733,81,5
9734,81,8
9735,81,9
9736,81,12
9737,81,13
9738,81,16
9739,81,19
13056,82,2
13057,82,15
13058,82,19
9740,83,2
9741,83,4
9742,83,5
9743,83,8
9744,83,12
9745,83,16
9746,83,19
9747,84,2
9748,84,4
9749,84,5
9750,84,8
9751,84,12
9752,84,16
9753,84,19
13059,85,2
13060,85,7
13061,85,15
13062,85,19
9754,86,2
9755,86,4
9756,86,5
9757,86,8
9758,86,12
9759,86,16
9760,86,17
8879,87,3
8880,87,7
8881,87,15
8882,87,19
9767,88,2
9768,88,4
9769,88,5
9770,88,8
9771,88,16
9772,88,19
50597,89,8
50598,89,15
50599,89,14
50600,89,11
50601,89,19
8722,90,2
8723,90,15
8724,90,19
9761,91,2
9762,91,5
9763,91,8
9764,91,12
9765,91,16
9766,91,17
9773,92,2
9774,92,5
9775,92,8
9776,92,12
9777,92,16
9778,92,17
50602,93,8
50603,93,14
50604,93,2
50605,93,19
9779,94,2
9780,94,4
9781,94,5
9782,94,8
9783,94,12
9784,94,16
9785,94,19
50606,95,8
50607,95,14
50608,95,2
50609,95,11
50610,95,19
50611,95,13
9786,96,2
9787,96,4
9788,96,5
9789,96,8
9790,96,12
9791,96,16
9792,96,19
9793,97,2
9794,97,4
9795,97,5
9796,97,8
9797,97,12
9798,97,16
9799,97,19
5387,98,2
5388,98,6
5389,98,7
5390,98,12
5402,98,19
9800,99,2
9801,99,4
9802,99,5
9803,99,8
9804,99,12
9805,99,16
9806,99,17
12092,100,3
12093,100,4
12094,100,10
12095,100,15
12096,100,18
9807,101,2
9808,101,4
9809,101,5
9810,101,8
9811,101,9
9812,101,16
9813,101,17
9814,102,2
9815,102,4
9816,102,5
9817,102,8
9818,102,16
9819,102,17
5392,103,3
5393,103,7
5394,103,15
5395,103,19
9820,104,2
9821,104,4
9822,104,5
9823,104,8
9824,104,12
9825,104,16
9826,104,17
57134,105,8
57135,105,5
57136,105,4
57137,105,2
57138,105,19
9827,106,2
9828,106,4
9829,106,5
9830,106,8
9831,106,16
9832,106,17
9833,107,2
9834,107,4
9835,107,5
9836,107,8
9837,107,16
9838,107,17
12228,108,3
12229,108,15
12230,108,19
9839,109,2
9840,109,4
9841,109,5
9842,109,8
9843,109,16
9844,109,17
11453,110,2
11454,110,6
11455,110,7
11456,110,15
11457,110,19
9845,111,2
9846,111,4
9847,111,5
9848,111,8
9849,111,16
9850,111,17
9851,112,2
9852,112,4
9853,112,5
9854,112,8
9855,112,16
9856,112,17
54761,113,14
54762,113,2
54763,113,10
54764,113,19
54765,113,12
79964,113,7
79965,113,6
79966,113,16
9860,114,2
9861,114,4
9862,114,5
9863,114,8
9864,114,16
9865,114,19
9866,115,2
9867,115,4
9868,115,5
9869,115,8
9870,115,12
9871,115,16
9872,115,17
64758,116,8
64759,116,15
64760,116,5
64761,116,2
64762,116,19
64763,116,12
9873,118,3
9874,118,5
9875,118,8
9876,118,13
9877,118,16
9878,118,19
50612,120,8
50613,120,9
50614,120,15
50615,120,14
50616,120,2
50617,120,19
10344,121,2
10345,121,8
10346,121,12
10347,121,14
10348,121,16
10349,121,17
10350,123,2
10351,123,4
10352,123,5
10353,123,8
10354,123,16
10355,123,17
10356,124,2
10357,124,4
10358,124,5
10359,124,8
10360,124,16
10361,124,17
52218,125,8
52219,125,6
52220,125,15
52221,125,14
52225,125,12
77663,125,11
77664,125,10
77665,125,19
10362,127,2
10363,127,5
10364,127,8
10365,127,16
10366,127,17
24615,128,2
24616,128,6
24617,128,7
24618,128,8
24619,128,9
24620,128,10
24621,128,12
24622,128,14
24623,128,15
24624,128,17
50618,130,8
50619,130,9
50620,130,15
50621,130,14
50622,130,2
50623,130,19
50624,130,13
48312,131,2
48313,131,8
48314,131,11
48315,131,14
48316,131,15
48317,131,17
51624,132,8
51625,132,9
51626,132,6
51627,132,15
51628,132,14
51629,132,2
51630,132,11
51631,132,17
51632,132,13
51633,132,12
52226,133,8
52227,133,6
52228,133,15
52229,133,14
52230,133,2
52231,133,17
52232,133,13
52233,133,12
53917,134,8
53918,134,9
53919,134,6
53920,134,15
53921,134,14
53922,134,2
53923,134,11
53924,134,10
53925,134,17
53926,134,12
36971,135,1
36972,135,2
36973,135,6
36974,135,8
36975,135,11
36976,135,12
36977,135,13
36978,135,14
36979,135,16
36980,135,17
2533,136,2
2534,136,6
2535,136,8
2536,136,10
2537,136,12
2538,136,14
2539,136,16
2540,136,17
29339,138,2
29340,138,8
29341,138,9
29342,138,14
29343,138,16
29344,138,19
64451,139,8
64452,139,15
64453,139,14
64454,139,2
64455,139,17
64764,140,8
64765,140,15
64766,140,14
64767,140,2
64768,140,10
64769,140,17
64770,140,12
66251,141,8
66252,141,15
66253,141,14
66254,141,2
66255,141,10
66256,141,19
66257,141,12
64456,143,8
64457,143,15
64458,143,14
64459,143,2
64460,143,17
66258,144,8
66259,144,15
66260,144,14
66261,144,11
66262,144,19
6887,145,3
6888,145,4
6889,145,9
6890,145,15
6891,145,19
6892,146,3
6893,146,4
6894,146,9
6895,146,15
6896,146,19
8350,147,8
8351,147,15
8352,147,19
27080,147,2
27081,147,4
27082,147,9
27083,147,10
82528,149,7
82529,149,15
82530,149,5
82531,149,3
82532,149,19
64771,150,8
64772,150,15
64773,150,5
64774,150,2
64775,150,10
64776,150,19
64777,150,12
78258,151,8
78259,151,9
78260,151,15
78261,151,4
78262,151,3
78263,151,19
22,153,1
23,153,2
24,153,8
25,153,14
82508,153,15
82509,153,19
20796,154,2
20797,154,4
20798,154,8
20799,154,9
20800,154,10
20801,154,16
20802,154,19
23988,155,3
23989,155,5
23990,155,6
23991,155,12
23992,155,15
23993,155,19
81413,156,8
81414,156,15
81415,156,4
81416,156,3
81417,156,19
56900,157,8
56901,157,15
56902,157,4
56903,157,10
56904,157,3
56905,157,19
56906,157,12
56907,158,8
56908,158,4
56909,158,3
56910,158,19
10333,159,2
10334,159,6
10335,159,14
10336,159,17
3995,160,4
3997,160,15
3998,160,19
45664,160,6
45665,160,12
33035,162,3
33036,162,4
33037,162,8
33038,162,15
33039,162,19
