id,name
1,Sin definir
4,Celeste
8,Celeste / terrestre
11,Celeste / escatológico
12,Escenario simbólico
15,Terrestre / interior casa-habitación
16,Terrestre / interior templo
17,Terrestre / cortinaje
18,Terrestre / interior - paisaje
19,Sin definir - claroscuro
20,Terrestre / paisaje
21,Terrestre / ciudad - poblado
3,Terrestre otro
