id,artwork_id,artwork_symbol_id,nombre,
5177,42,185,Manto,
132106,42,125,Espada ,
527,43,93,Corona de espinas,
1355,43,61,Cayado / Bastón ,
53281,43,53,Caña,
112320,43,244,Sangre,
127551,43,92,Corona,
30512,45,117,Edificación / iglesia ,
132447,45,779,Sacerdote,
50888,46,61,Cayado / Bastón ,
50889,46,42,Caballo,
50890,46,74,Ciudad ,
116252,46,42,Caballo,
116253,46,42,Caballo,
50899,47,201,Nube,
50900,47,404,Cielo / paraíso ,
87727,47,4,Alas,
87728,47,185,Manto,
118651,47,404,Cielo / paraíso ,
50903,48,125,Espada ,
50905,48,181,Llave,
50906,48,325,Halo de luz ,
50907,48,404,Cielo / paraíso ,
87731,48,4,Alas,
87732,48,185,Manto,
87733,48,185,Manto,
50910,49,23,Aureola de rayos o luz ,
50911,49,81,Columna ,
50912,49,117,Edificación / iglesia ,
50916,49,201,Nube,
50917,49,404,Cielo / paraíso ,
87737,49,4,Alas,
87738,49,80,Collar,
87739,49,185,Manto,
87740,49,185,Manto,
87745,49,185,Manto,
125948,49,81,Columna ,
125949,49,81,Columna ,
50921,50,102,Cruz / crucifijo ,
87747,50,185,Manto,
50925,51,23,Aureola de rayos o luz ,
50926,51,92,Corona,
50928,51,325,Halo de luz ,
50929,51,201,Nube,
50930,51,404,Cielo / paraíso ,
87750,51,185,Manto,
87751,51,185,Manto,
127486,51,92,Corona,
50933,52,23,Aureola de rayos o luz ,
50934,52,46,Copa / Cáliz ,
50935,52,273,Vela ,
50936,52,93,Corona de espinas,
50938,52,273,Vela ,
50939,52,201,Nube,
87754,52,7,Altar,
87755,52,177,Libro ,
87756,52,325,Halo de luz ,
87757,52,185,Manto,
111586,52,7,Altar,
133693,52,448,Clero,
133694,52,448,Clero,
133792,52,448,Clero,
87760,53,4,Alas,
87761,53,230,Puerta ,
87762,53,185,Manto,
50947,54,102,Cruz / crucifijo ,
50948,54,211,Paloma ,
50949,54,142,Flores ,
50951,54,163,Instrumentos musicales ,
50952,54,177,Libro ,
50953,54,325,Halo de luz ,
50954,54,124,Esfera / mundo ,
50957,54,433,Trinidad,
87808,54,94,Corona de flores,
87809,54,211,Paloma ,
87810,54,185,Manto,
87811,54,185,Manto,
87813,54,142,Flores ,
108663,54,433,Trinidad,
50961,55,22,Aureola ,
50962,55,102,Cruz / crucifijo ,
50963,55,211,Paloma ,
50964,55,142,Flores ,
50966,55,163,Instrumentos musicales ,
50967,55,325,Halo de luz ,
50971,55,201,Nube,
50973,55,404,Cielo / paraíso ,
87815,55,4,Alas,
87816,55,94,Corona de flores,
87817,55,185,Manto,
87819,55,142,Flores ,
108664,55,433,Trinidad,
50975,56,6,Alma,
50977,56,23,Aureola de rayos o luz ,
87820,56,185,Manto,
87821,56,185,Manto,
87823,56,23,Aureola de rayos o luz ,
111356,56,6,Alma,
51045,57,211,Paloma ,
51047,57,177,Libro ,
51048,57,325,Halo de luz ,
87826,57,211,Paloma ,
87828,57,185,Manto,
51053,58,273,Vela ,
51054,58,102,Cruz / crucifijo ,
51055,58,211,Paloma ,
51057,58,273,Vela ,
51059,58,433,Trinidad,
87831,58,4,Alas,
87832,58,102,Cruz / crucifijo ,
87833,58,211,Paloma ,
87834,58,185,Manto,
87835,58,185,Manto,
51063,59,23,Aureola de rayos o luz ,
51065,59,201,Nube,
51066,59,404,Cielo / paraíso ,
87838,59,325,Halo de luz ,
87839,59,185,Manto,
118653,59,404,Cielo / paraíso ,
124946,59,201,Nube,
51068,60,81,Columna ,
126314,60,81,Columna ,
51073,61,61,Cayado / Bastón ,
51074,61,42,Caballo,
116254,61,42,Caballo,
116255,61,42,Caballo,
51078,62,61,Cayado / Bastón ,
51079,62,42,Caballo,
51080,62,74,Ciudad ,
116256,62,42,Caballo,
116257,62,42,Caballo,
120069,62,74,Ciudad ,
24763,63,26,Azucenas,
