id,Lugar,latitud,longitud,lugar/ubicación,pais,Anotación
1075,Iglesia san Pedro Apóstol ,-13.30499816,-72.11592071,Urubamba,Perú,
33,Iglesia María Reina de los Ángeles ,-13.33715647,-72.04769617,Urquillos,Perú,
553,Recolección de Urquillos ,-13.33712515,-72.0477069,Urquillos,Perú,
1569,Iglesia Santiago Apóstol ,-13.6882389,-71.62595088,Urcos,Perú,
514,Iglesia san Francisco de Paula ,-23.30058194,-65.35549,Uquía,Argentina,
1884,Basílica del Santo Cristo ,5.307331648,-73.81455097,Ubaté,Colombia,
1012,Iglesia de la Soledad ,19.6267581,-101.5789837,Tzintzuntzan,México,
31,Catedral san Marcos ,16.753114,-93.1155092,Tuxtla Gutiérrez,México,
109,Museo Regional de Chiapas ,16.76116936,-93.10630891,Tuxtla Gutiérrez,México,
1784,Iglesia Santiago Apóstol ,19.56830397,-100.4636565,Tuxpan,México,
2061,Iglesia santa Rita de Casia ,5.690002345,-73.22732958,Tuta,Colombia,
935,Colección Jack Warner ,33.20930147,-87.56450788,Tuscaloosa,Estados Unidos,
1888,Hacienda Aposentos ,5.337420907,-73.4655848,Turmequé,Colombia,
1832,Iglesia Nuestra Señora del Rosario ,5.3233672,-73.4905851,Turmequé,Colombia,
1811,Casa del Escribano don Juan Vargas ,5.532947964,-73.36030012,Tunja,Colombia,
1857,Casa del Fundador Gonzalo Suárez Rendón ,5.532580591,-73.36100327,Tunja,Colombia,
1864,Catedral Santiago el Mayor ,5.5320035,-73.3610356,Tunja,Colombia,
1956,Colección orden dominica ,5.5329789,-73.3631688,Tunja,Colombia,
893,Iglesia conventual San Agustín ,5.5356279,-73.3589947,Tunja,Colombia,
906,Iglesia conventual Santa Clara la Real ,5.5316948,-73.3588923,Tunja,Colombia,
675,Iglesia Nuestra Señora de las Nieves ,5.538358746,-73.35919941,Tunja,Colombia,
1833,Iglesia Nuestra Señora del Milagro del Topo ,5.532992176,-73.36851561,Tunja,Colombia,
1935,Iglesia san Francisco ,5.536513237,-73.3616878,Tunja,Colombia,
1850,Iglesia san Laureano ,5.527999184,-73.36359343,Tunja,Colombia,
500,Iglesia san Lázaro ,5.544762693,-73.37252924,Tunja,Colombia,
1970,Iglesia santa Bárbara ,5.5299405,-73.3637587,Tunja,Colombia,
1807,Iglesia santo Domingo ,5.5329789,-73.3631688,Tunja,Colombia,
1602,Iglesia Nuestra Señora de los Dolores ,-23.8573078,-65.46784809,Tumbaya,Argentina,
1630,Iglesia Inmaculada Concepción ,-0.2112449328,-78.40450881,Tumbaco,Ecuador,
614,Iglesia san Antonio de Padua ,19.64739833,-99.16724464,Tultitlán,México,
1739,Philbrook Museum of Art ,36.1238549,-95.9700944,Tulsa,Estados Unidos,
1017,Capilla de la Expiración ,20.07729117,-98.35779451,Tulancingo,México,
1418,Catedral san Juan Bautista ,20.0805441,-98.3678916,Tulancingo,México,
114,Catedral san José ,20.0555423,-99.3435227,Tula,México,
725,Convento dominicas Virgen del Rosario ,42.0630963,-1.6101291,Tudela,España,
930,Tucson Museum Of Art ,32.22416138,-110.9752669,Tucson,Estados Unidos,
1224,Catedral Santa María ,-8.1106649,-79.0281991,Trujillo,Perú,
1575,Colección Jorge Zevallos,-8.111560925,-79.02863723,Trujillo,Perú,
818,Iglesia san Agustín ,-8.1126515,-79.0266698,Trujillo,Perú,
1265,Iglesia y convento del Carmen ,-8.1091457,-79.0237127,Trujillo,Perú,
892,Iglesia y convento santa Clara ,-8.1083888,-79.0258347,Trujillo,Perú,
1126,Museo Histórico ,21.80504675,-79.98546141,Trinidad,Cuba,
1041,Museo reducción jesuita Trinidad Itapúa ,-27.13132703,-55.70300936,Trinidad,Cuba,
1061,J. Douglas Gay Jr-Frances Carrick Thomas LIbrary ,38.05219063,-84.49448757,Transilvania,Estados Unidos,
579,Convento san Guillermo ,18.98770782,-98.91953587,Totolapan,México,
2062,Iglesia Nuestra Señora de los Dolores ,5.561553223,-72.98545207,Tota,Colombia,
126,Museo Arocena ,25.53874684,-103.4617157,Torreón,México,
1974,Iglesia Inmaculada Concepción ,5.768257291,-72.83257864,Tópaga,Colombia,
124,Iglesia Santiago Apóstol ,20.62402945,-103.241296,Tonalá,México,
1129,Iglesia san Miguel ,-19.9737214,-66.43247823,Tomave-Uyuni,Bolivia,
1316,Catedral san José ,19.2918265,-99.6572516,Toluca,México,
1398,CESP ,19.2935469,-99.66098455,Toluca,México,
877,Iglesia del Carmen ,19.2943094,-99.655872,Toluca,México,
1310,Iglesia santa María de las Rosas ,19.2737885,-99.6466063,Toluca,México,
658,Museo de Bellas Artes de Toluca ,19.2940458,-99.6559917,Toluca,México,
956,Santuario Nuestra Señora de la Merced ,19.2879512,-99.6609749,Toluca,México,
903,Iglesia Inmaculada Concepción ,9.7847984,-69.7976768,Tocuyo,Venezuela,
378,Museo del Tocuyo y Lisandro Alvarado ,9.7838257,-69.7955525,Tocuyo,Venezuela,
116,Iglesia de la Natividad ,18.83918934,-97.82312968,Tochtepec,México,
982,Iglesia Nuestra Señora del Amparo ,-13.330631,-72.15606834,Tobasía,Colombia,
277,Capilla Nuestra Señora del Rosario ,18.9567283,-98.9868432,Tlayacapan,México,
741,Convento san Juan Bautista ,18.95649609,-98.98157243,Tlayacapan,México,
121,Basílica de Nuestra señora de Ocotlán ,19.31820769,-98.22797847,Tlaxcala,México,
863,Capilla san Diego de Alcalá ,19.32430227,-98.23148176,Tlaxcala,México,
822,Catedral Nuestra Señora de la Asuncion ,19.313867,-98.2379148,Tlaxcala,México,
492,Iglesia de Santa Cruz ,19.35506666,-98.14973744,Tlaxcala,México,
993,Iglesia del Buen Vecino ,19.31287781,-98.23739575,Tlaxcala,México,
161,Iglesia san José de Gracia ,19.31856557,-98.2389639,Tlaxcala,México,
1399,Iglesia y convento franciscano de la Asuncion ,19.3140391,-98.23787188,Tlaxcala,México,
1397,Museo Regional de Tlaxcala ,19.31417185,-98.2378914,Tlaxcala,México,
739,Obispado de Tlaxcala ,19.31844154,-98.23827641,Tlaxcala,México,
891,Patrimonio de Tlaxcala,19.31695067,-98.23825937,Tlaxcala,México,
112,Santuario Nuestra Señora de la Defensa ,19.35277286,-98.2545089,Tlaxcala,México,
474,Iglesia Nuestra Señora de la Soledad ,20.6396937,-103.312504,Tlaquepaque,México,
1244,Capilla san Lorenzo ,19.80372201,-100.1905667,Tlapujahua,México,
196,Catedral san Agustín ,17.5485315,-98.5818726,Tlapa,México,
17,Iglesia los Santos Reyes ,19.0333826,-98.35237982,Tlanechicolpan,México,
1437,Catedral Corpus Christi ,19.5378537,-99.1948619,Tlalnepantla,México,
9,Convento franciscano san Luis Obispo de Tolosa ,19.20625828,-98.80167964,Tlalmanalco,México,
133,Iglesia san Luis de Tolosa ,19.20561996,-98.8017762,Tlalmanalco,México,
278,Santuario Señor de Tlacotepec ,18.68644631,-97.65356074,Tlacotepec,México,
322,Iglesia y capilla Santo Cristo ,16.954964,-96.47811661,Tlacolula,México,
13,Iglesia y convento san Jerónimo ,17.00866615,-96.58114321,Tlacochahuaya,México,
937,Iglesia Nuestra Señora de los Dolores ,6.063127668,-75.79403386,Titiribí,Colombia,
1637,Capela da Santíssima Trinidade ,-21.11264488,-44.18254495,Tiradentes,Brasil,
772,Igreja Matriz de Santo Antônio,-21.11025025,-44.17833567,Tiradentes,Brasil,
1219,Igreja Nossa Senhora das Merces,-21.1088802,-44.1720116,Tiradentes,Brasil,
118,Igreja Nossa senhora del Rosario,-21.1098743,-44.1768541,Tiradentes,Brasil,
530,Iglesia san Bartolomé de Tinta ,-14.146307,-71.4070226,Tinta,Perú,
1472,Iglesia Virgen del Rosario y San Francisco de Asís ,-23.5770706,-65.3916469,Tilcara,Argentina,
115,Convento franciscano de Santa María Magdalena ,19.28309607,-98.43739007,Texmelucan,México,
540,Catedral Inmaculada Concepción ,19.5134672,-98.8836544,Texcoco,México,
1086,Iglesia san Miguel Coatlinchan ,19.45130137,-98.87478767,Texcoco,México,
848,Iglesia san Mateo ,19.13234245,-99.50191793,Texcalyacac,México,
694,Colección Luis T. Campos (Texas),30.2742452,-97.74001533,Estados Unidos (sin ubicación),Estados Unidos,
307,Iglesia Santiago apóstol ,19.4420384,-98.10403206,Tetla,México,
835,Iglesia San Pedro y San Pablo ,18.06017155,-97.71907529,San Pedro y San Pablo Tequixtepec,México,
90,Iglesia Nuestra Señora del Refugio,19.71118791,-99.23079535,Tepotzotlán,México,
83,Museo Nacional del Virreinato ,19.7132656,-99.2217286,Tepotzotlán,México,
314,Iglesia y convento san Pedro y san Pablo,17.5114239,-97.4898554,Teposcolula,México,
834,Iglesia santa María Magdalena ,19.57258676,-98.81832819,Tepetlaoxtoc de Hidalgo,México,
1301,Santuario del Niño Doctor ,18.96547828,-97.90527447,Tepeaca,México,
872,Iglesia san Antonio de Padua  ,19.74553943,-99.18113285,Teoloyucan,México,
861,Iglesia san Luis Obispo ,19.24454307,-98.19110969,Teolocholco,México,
1889,Iglesia Santiago apóstol ,4.8719493,-74.1443997,Tenjo,Colombia,
77,Catedral san Clemente ,18.965363,-99.593519,Tenancingo,México,
878,Convento Nuestra Señora del Carmen del Santo Desierto ,18.9122946,-99.5548586,Tenancingo,México,
315,Iglesia san Francisco Telixtlahuaca ,17.29637412,-96.90387597,Telixtlahuaca,México,
144,Iglesia conventual san Francisco ,18.4628872,-97.39081935,Tehuacán,México,
1014,Iglesia el Calvario ,18.45277017,-97.39092598,Tehuacán,México,
355,Iglesia san Diego Chalma ,18.44293826,-97.3661312,Tehuacán,México,
1112,Catedral de San Miguel Arcángel  ,14.10573732,-87.2044311,Tegucigalpa,Honduras,
1506,Galería Nacional de Arte ,14.1064108,-87.2081547,Tegucigalpa,Honduras,
1111,Iglesia Santa María de los Dolores ,14.10859546,-87.20642105,Tegucigalpa,Honduras,
1727,Instituto Hondureño de Antropología e Historia ,14.1040462,-87.20595642,Tegucigalpa,Honduras,
869,Patrimonio de Tegucigalpa ,14.10594455,-87.20463696,Tegucigalpa,Honduras,
1213,Iglesia Santiago apóstol ,20.53397416,-99.63339874,Tecozautla,México,
495,Iglesia Nuestra Señora de los Ángeles ,19.32702139,-99.71515972,Tecaxic,México,
140,Convento Nuestra señora de la Asunción ,18.88401212,-97.72746754,Tecamachalco,México,
559,Convento san Francisco ,18.88651036,-97.73021055,Tecamachalco,México,
859,Iglesia santa Cruz ,19.71169801,-98.96759963,Tecámac de Felipe Villanueva,México,
1110,Iglesia santa María de Ozumbilla ,19.67877381,-98.9976322,Tecámac de Felipe Villanueva,México,
122,Iglesia Santiago Apóstol,18.90108373,-97.96873588,Tecali de Herrera,México,
790,Iglesia franciscana Señora de los Angeles,19.32712768,-99.71512217,Tecaxic,México,
66,Convento franciscano san Bernardino de Siena ,18.5582136,-99.6040919,Taxco,México,
89,Iglesia santa Prisca ,18.5563949,-99.6055549,Taxco,México,
1148,"Museo de Arte Virreinal, casa Humboldt ",18.556859,-99.604239,Taxco,México,
285,Santuario de la Santa Veracruz ,18.5561868,-99.6029047,Taxco,México,
2060,Iglesia Nuestra Señora del Rosario,5.910340871,-72.78195398,Tasco,Colombia,
836,Iglesia santa María de la Natividad ,17.67232392,-97.57155442,Tamazulápam del Progreso,México,
1781,Museo O'Higginiano y de Bellas Artes ,-35.42505487,-71.6641259,Talca,Chile,
1820,Capilla santa Bárbara ,4.920306265,-74.09668538,Tabio,Colombia,
886,Iglesia Inmaculada Concepción ,21.86593317,-102.9129663,Tabasco (Zacatecas),México,
2054,Iglesia san Juan Bautista ,5.246696046,-73.8513473,Sutatausa,Colombia,
1815,Convento agustino del Ecce Homo ,5.6908305,-73.62754,Sutamerchán,Colombia,
1382,Iglesia Nuestra Señora de Belén ,-23.39675218,-66.3676977,Susques,Argentina,
768,Iglesia Virgen del Carmen ,-14.10861936,-71.53375964,Surimana,Perú,
960,Basílica san Francisco de Charcas ,-19.04480693,-65.25910749,Sucre,Bolivia,
681,Casa de la Libertad ,-19.04726966,-65.26011172,Sucre,Bolivia,
424,Museo Catedral Nuestra Señora de Guadalupe,-19.0488211,-65.2599672,Sucre,Bolivia,
947,Iglesia santo Domingo ,-19.04798861,-65.25775559,Sucre,Bolivia,
898,Iglesia y convento santa Clara ,-19.0493264,-65.2566614,Sucre,Bolivia,
406,Iglesia y convento santa Teresa ,-19.0490438,-65.2547174,Sucre,Bolivia,
346,Museo colonial Charcas ,-19.05002261,-65.25910884,Sucre,Bolivia,
963,Museo de la Catedral ,-19.04804228,-65.26008722,Sucre,Bolivia,
1133,Museo y convento la recoleta ,-19.05474554,-65.25354623,Sucre,Bolivia,
1816,Seminario mayor ,-19.04873076,-65.26024191,Sucre,Bolivia,
1822,Iglesia san Miguel Arcángel ,4.92837366,-74.17358352,Subachoque,Colombia,
2163,Stratford Hall ,38.1519448,-76.8395434,Stratford,Estados Unidos,
1754,Cantor Arts Center - Stanford University,37.4329677,-122.1708354,Stanford,Estados Unidos,
612,Convento de la Concepción ,41.85251468,-1.916358896,Soria,España,
1120,Iglesia santa Bárbara ,5.565834864,-73.45002106,Sora,Colombia,
1818,Iglesia Divino Salvador ,4.908252918,-73.93992109,Sopó,Colombia,
2023,Iglesia de Córdoba ,6.5188343,-75.7689513,Sopetrán,Colombia,
1441,Iglesia san Hipólito ,19.12007518,-97.70833288,Soltepec,México,
1007,Misión la soledad,36.4047875,-121.3557724,La Soledad (Ca.),Estados Unidos,
832,Iglesia y convento del señor de Singuilucan ,19.96891683,-98.51756046,Singuilucan,México,
39,Colección particular,0,0,(Sin datos),,
502,Iglesia Parroquial ,18.9667462,-97.90517017,(Sin datos),,
361,Sin datos,0,0,(Sin datos),,
1834,Iglesia la Inmaculada Concepción ,5.502314883,-73.85177327,Simijaca,Colombia,
1996,Iglesia Nuestra Señora del Rosario ,5.513065623,-73.2443426,Siachoque,Colombia,
855,Archivo General de Indias ,37.38549944,-5.993115958,Sevilla,España,
445,Hermandad y Archicofradía de los Nazarenos del Dulce Nombre de Jesús ,37.40039198,-5.999476572,Sevilla,España,
1044,Iglesia de Santiago el Mayor ,37.39143699,-5.986500448,Sevilla,España,
1438,Iglesia san Alberto ,37.38882276,-5.99143472,Sevilla,España,
1502,Casa Museo de los condes de Lebrija ,37.39222065,-5.993704105,Sevilla,España,
1503,Colección Lleó ,37.38859053,-5.995518058,Sevilla,España,
1504,Convento san José del Carmen ,37.38585086,-5.989049392,Sevilla,España,
1505,Covento santa Paula ,37.39626893,-5.98579348,Sevilla,España,
1038,Museo de los padres capuchinos ,37.40106256,-5.984604552,Sevilla,España,
1531,Igreja e Residência dos Reis Magos ,-20.05803755,-40.19238194,Serra,Brasil,
988,Iglesia conventual franciscana san Roque ,19.88403306,-103.6084462,Sayula,México,
1545,Igreja Matriz São Tomé das Letras ,-21.72253993,-44.98533119,São Tomé das Letras,Brasil,
1191,Capela da Fazenda Santo Antônio ,-23.50094838,-47.08895998,São Roque,Brasil,
1179,Colección Americo Ribeiro ,-23.5504542,-46.63342267,São Paulo,Brasil,
1467,Colección Ángela Gutiérrez ,-23.5504542,-46.63342267,São Paulo,Brasil,
1156,Colección M.P Camargo ,-23.5504542,-46.63342267,São Paulo,Brasil,
1178,Colección Maria Luiza Americano ,-23.5504542,-46.63342267,São Paulo,Brasil,
1466,Palácio dos Bandeirantes Governo do Estado de São Paulo,-23.60096057,-46.71191021,São Paulo,Brasil,
1541,Igreja da Ordem Terceira Carmo ,-23.5504219,-46.6312122,São Paulo,Brasil,
1192,Igreja da Ordem Terceira Chagas Seráfico Pai São Francisco ,-23.5504219,-46.6312122,São Paulo,Brasil,
1165,Igreja Nossa Senhora do Carmo ,-23.5594428,-46.6412769,São Paulo,Brasil,
548,Igreja Nossa Senhora do Rosário ,-23.54743379,-46.68102314,São Paulo,Brasil,
682,Mosteiro São Bento ,-23.54363642,-46.6338643,São Paulo,Brasil,
677,Museo de Arte,-23.5605289,-46.65577461,São Paulo,Brasil,
1539,Museu Afro Brasil ,-23.5838412,-46.6591974,São Paulo,Brasil,
425,Museu de Arte Sacra ,-23.53007195,-46.63122663,São Paulo,Brasil,
1566,Museu de Arte Sacra dos Jesuítas Embu das Artes Compañia ,-23.64949638,-46.85160922,São Paulo,Brasil,
1168,Pinacoteca do Estado de São Paulo ,-23.53338132,-46.63371407,São Paulo,Brasil,
1547,Igreja Matriz de São Miguel do Cajuru de Arcângelo,-21.3045071,-44.31637859,São João del Rei,Brasil,
1159,Museu Regional de San Joao del Rei,-21.13558618,-44.26141239,São João del Rei,Brasil,
1457,Convento de san Antonio ,-12.63062513,-38.67599251,Salvador de Bahia,Brasil,
244,Iglesia Nuestra Señora de Chiquinquirá ,6.139569858,-75.26535253,Santuario,Colombia,
336,Catedral Nuestra señora de la Encarnación,18.4728727,-69.8839259,Santo Domingo,República Dominicana,
809,Colección Fernando Fernández de la Cavada,18.47386444,-69.88393563,Santo Domingo,República Dominicana,
180,Iglesia santo Domingo ,18.4714836,-69.8851933,Santo Domingo,República Dominicana,
782,Iglesia de Belén,-13.5263378,-71.98194203,Santiago (Cuzco),Perú,
1433,Museo Histórico ,-27.7870753,-64.260087,Santiago del Estero,Argentina,
965,Iglesia Virgen de la Natividad,-16.23224644,-68.50408839,Santiago de Huata,Bolivia,
