id,Nombre
1,De pie
2,De pie inclinado
3,Sentado
4,Arrodillado
5,Tendido
6,Postrado/agachado
7,Alzado
8,Ecuestre
9,Elevación
10,Ambiguo o no notorio
11,No aplica
12,De pie Alzando
13,Sentado alzando
14,Arrodillado Alzando
