id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
984,,William Keable,,,,San José: Corona de flores y/o E.S,San José: Corona de flores y/o E.S,San José: Corona de flores y/o E.S,San José: Corona de flores y/o E.S,San José: Corona de flores y/o E.S,,,,,"Iglesia san Cristóbal Suchixtlahuaca (San Cristóbal Suchixtlahuaca, Oaxaca)",,,,,,,,,,San José: Corona de flores y/o E.S
985,,William Lovett,,,,San José con Jesús adolescente,San José con Jesús adolescente,San José con Jesús adolescente,San José con Jesús adolescente,San José con Jesús adolescente,,,,,Iglesia Nuestro Señor del Encino (Aguascalientes),,,,,,,,,,San José con Jesús adolescente
986,,William M. S. Doyle,,,,San José con Jesús en brazos,San José con Jesús en brazos,San José con Jesús en brazos,San José con Jesús en brazos,San José con Jesús en brazos,,,,,Iglesia de Ccorca,,,,,,,,,,San José con Jesús en brazos
987,,William Matthew Prior,,,,Alegorías sagrada familia,Alegorías sagrada familia,Alegorías sagrada familia,Alegorías sagrada familia,Alegorías sagrada familia,,,,,Museum of Fine Arts (Malta),,,,,,,,,,Alegorías sagrada familia
988,Francisco Antonio Moreno y Escandón,William Page,,,,"José, Maria y Jesús","José, Maria y Jesús","José, Maria y Jesús","José, Maria y Jesús","José, Maria y Jesús",,,,,Iglesia conventual franciscana san Roque (Sayula),,,,,,,,,,"José, Maria y Jesús"
989,Manuel de Bernardo Álvarez,William Russell Birch,,,,Infancia de Jesús,Infancia de Jesús,Infancia de Jesús,Infancia de Jesús,Infancia de Jesús,,,,,"Colección Guillén (Lima, Perú)",,,,,,,,,,Infancia de Jesús
990,,William Sidney Mount,,,,Asunción con ángeles,Asunción con ángeles,Asunción con ángeles,Asunción con ángeles,Asunción con ángeles,,,,,"Colección Olsen-Scheffer (Pasadena, Estados Unidos)",,,,,,,,,,Asunción con ángeles
991,,William Thomson,,,,Asunción desde tumba,Asunción desde tumba,Asunción desde tumba,Asunción desde tumba,Asunción desde tumba,,,,,Colección Fernando Vázquez (Guadalajara),,,,,,,,,,Asunción desde tumba
992,,William Verstille,,,,Asunción con trinidad,Asunción con trinidad,Asunción con trinidad,Asunción con trinidad,Asunción con trinidad,,,,,Tribunal Constitucional del Perú (Lima),,,,,,,,,,Asunción con trinidad
993,,William Williams,,,,Alegorías coronación,Alegorías coronación,Alegorías coronación,Alegorías coronación,Alegorías coronación,,,,,Iglesia del Buen Vecino (Tlaxcala),,,,,,,,,,Alegorías coronación
