id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
1,Monjas coronadas muertas,A Nava,Agnus Dei,África,0 Desconocido,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Bogotá,Bogotá,Bolivia,Bolivia,Convento dominico Santa Inés (Bogotá),Alegoria/moral,https://i.pinimg.com/originals/ee/ba/19/eeba19f44d44df27d930cc0741dd1d8a.jpg,,,Sin definir,,,,,Alegorías y Emblemas
2,Abigail,A. Ellis,Agua,Agustínos,0 Múltiples gestos,Ángeles,Ángeles,Ángeles,Ángeles,Ángeles,Turmequé,Turmequé,Japón,Japón,Capilla del Corazón de María (Puebla),Devoción,Silvia Bogui. Museo Colonial Charcas.,Acuarela,,,,,,,Ángeles
3,Achab,A. Haddock,Águila,Alegoría,Suplico ora: implorar,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Monguí,Monguí,Brasil,Brasil,Iglesia san Francisco de Asís (San Cristóbal de las Casas),Historia,"KATZEW, Ilona, et al. Trastoques y elipsis en un retrato de tornaviaje: la ductilidad de los mensajes. 2020.",Biombo Óleo Tela,,Terrestre otro,,,,,Antiguo Testamento
4,Adán y Eva,A. Pérez,Alas,Comida,Oro: pedir misericordia,Cristológico,Cristológico,Cristológico,Cristológico,Cristológico,Tunja,Tunja,Rusia,Rusia,Iglesia conventual san Francisco (Queretaro),Milagros,"MAZA, Francisco de la, et al. Cuarenta siglos de arte Mexicano. México: Herrero, 1981.",Ceras,,Celeste,,,,,Cristológico
5,Adonis,Tomás Mondragón,Alba,Amamantar,Ploro: condolerse,Dogma,Dogma,Dogma,Dogma,Dogma,Popayán,Popayán,Guatemala,Guatemala,Museo Soumaya (CdMx),Paisaje,"Lorenzo García et Al. El monasterio del Carmen de la Asunción de Cuenca. Quito Banco Central del Ecuador, 1986.",Grabado en hojalata,,,,,,,Dogma
6,Martirio de san Juan,A.M. Randall,Alma,América,"Dos manos arriba: admira, halaga",Santos,Santos,Santos,Santos,Santos,Duitama,Duitama,Inglaterra,Inglaterra,"Museo Casa de Montejo (Mérida, Yucatán)",Retrato,"MAQUIVAR, María Consuelo. Ángeles y arcángeles. México: Mexial Banpais, 1993.",Grabado en seda,Sin donante,,,,,,Santos
7,"Abdías, profeta",Aaron Haugthon Corwine,Altar,Accidente / calamidad,"Aplaudir: aprobar, disfrutar",Historia,Historia,Historia,Historia,Historia,Sutamerchán,Sutamerchán,Haití,Haití,Iglesia La Compañía de Jesús (Cuzco),Vida,"Kennedy Troya, Alezandra; Ortiz Crespo, Alfonso. Recoleta de San Diego de Quito. Historia y restauración. Quito: Banco central del ecuador, 1982",Grabado iluminado,Indígenas,,,,,,Historia
8,Monjas coronadas vivas,Abraham Mignon,Anagrama,Aparición,"Mano golpea palma: error, ira, indigna",Retrato,Retrato,Retrato,Retrato,Retrato,Villa de Leyva,Villa de Leyva,Hungría,Hungría,Iglesia y convento san Nicolás de Bari (Oxtotipac),Visión,"Ximena Carcelén ed. Y curaduría. Vivir para morir una Mirada a través del arte. Museo de arte colonial, quito, 2014.",Óleo aguafuerte,Español@s y crioll@s,Celeste / terrestre,,,,,Retrato
9,"Martín de Tours, san",Abraham Tuthill,Ancla,,Puño pega palma: lenguaje de burla,Mariología,Mariología,Mariología,Mariología,Mariología,Sopó,Sopó,Honduras,Honduras,Convento franciscano san Luis Obispo de Tolosa (Tlalmanalco),Urbano,"José Gabriel Navarro, Contribuciones a la historia del arte en el ecuador. Quito: editorial Trama y Fonsal, 2007.",Óleo alabastro,Monjas y/o clérigos,,,,,,Mariología
10,"Jorge, san",Adam Buck,Aureola con estrellas,Ángeles / querubines,"Brazo abatidos: desesperación, sin valor",Temas seculares,Temas seculares,Temas seculares,Temas seculares,Temas seculares,Tabio,Tabio,Puerto Rico,Puerto Rico,"Catedral san Ildefonso (Mérida, Mx)",,Fotografía Agisdo do Nascimiento Rodrigues,Óleo madera techo,Donante posiblemente presente,,,,,,Temas seculares
11,Adoración de Eucaristía,Adolf Ulric Wertmüller,Anillo ,Armadura / yelmo,"Mano sobre otra: pereza, sueño",Mística y Moral,Mística y Moral,Mística y Moral,Mística y Moral,Mística y Moral,Subachoque,Subachoque,Portugal,Portugal,Catedral y convento San Bernardino de Siena (CdMx),,"José María Vargas El arte ecuatoriano en el siglo XIX. Quito Banco central del ecuador, 1984.",Óleo mármol,Donante por el nombre,Celeste / escatológico,,,,,Mística y Moral
12,Afrodita,Agostino Brunias,Animales,Asia,"Dedos entrelazados: débil, melancólico",Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Tenjo,Tenjo,Paraguay,Paraguay,Iglesia y convento san Jerónimo (Puebla),,"TORD, Luis Enrique. Arequipa artística y monumental. Lima: Banco del Sur del Perú, 1987.",Óleo sobre cuero,,Escenario simbólico,,,,,Alegorías de la Virgen
13,"Agustín, san", Aguilar,,,Puño lavado mano: probar inocencia,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Buga,Buga,Panamá,Panamá,Iglesia y convento san Jerónimo (Tlacochahuaya),,"DONAHUE-WALLACE, Kelly. Art And Architecture of Viceregal Latín América, 1521-1821. Alburquerque: University of New Mexico Press, 2008.",Óleo / acuarela sobre hueso,,,,,,,Alegorías de la Virgen inmaculada
14,África (alegoría),Agustín Del Pino,Árbol ,,"Frotar palmas: codicia, engaño",Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Tibasosa,Tibasosa,Perú,Perú,Iglesia Nuestra Señora de las Nieves (Ciudad Oaxaca),,https://www.urosario.edu.co/Museo/Coleccion/,Óleo sobre madera,,,,,,,Alegorías bíblicas
15,"Alberto de Sicilia, san",Agustín García Zorro de Useche,Mandorla,Biblioteca,Manos paralelas al frente: recibir,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Real de Catorce,Real de Catorce,Ecuador,Ecuador,Iglesia y convento santo Domingo (Oaxaca),,"Jacinto Jijon y Caamaño, Breves consideraciones sobre el arte quiteño. Quito, Pontifica universidad del ecuador, 1976",Óleo sobre papel,,Terrestre / interior casa-habitación,,,,,Alegorías Cristo adulto
16,Ángel de la guarda,Agustín Sojo,Arca de la alianza,,Manos paralelas: entrega al otro,Alegorías Cristo niño,Alegorías Cristo niño,Alegorías Cristo niño,Alegorías Cristo niño,Alegorías Cristo niño,Simijaca,Simijaca,España,España,Iglesia san Pedro Apóstol (Zapopan),,"BAILEY, Gauvin Alexander. Art of Colonial Latin America. Londres: Phaidon, 2005.",Óleo sobre tela,,Terrestre / interior templo,,,,,Alegorías Cristo niño
17,"Agatón, san",Agustín Zamora,Arco iris,,Brazo extendido arriba: protejo,Alegorías al corazón,Alegorías al corazón,Alegorías al corazón,Alegorías al corazón,Alegorías al corazón,Ríonegro,Ríonegro,México,México,Iglesia los Santos Reyes (Tlanechicolpan),,"José María Vargas Op. Museo Jacinto Jijon y Caamaño y el patrimonio artístico. Quito: centro de publicacioines de la pontifica universidad católica del Excuador, 1978",Óleo sobre nácar o madreperla,,Terrestre / cortinaje,,,,,Alegorías al corazón
18,Agnus Dei,Francisco Ambrosio Nuñez,Arco y carcaj ,Aguja / alfiler ,Mano y brazo extendida: triunfo,Emblemas,Emblemas,Emblemas,Emblemas,Emblemas,Pamplona,Pamplona,Francia,Francia,"Colección Cisneros (Caracas, Venezuela)",,"Banco de los Andes. Coloristas quiteños 1730-1835. Quito, Banco de los Andes, 1990.",Pintura mural,,Terrestre / interior - paisaje,,,,,Emblemas
19,"Águeda, santa",Alexander Robertson,,,Mano levantada: silencio,"Estaciones, continentes y países","Estaciones, continentes y países","Estaciones, continentes y países","Estaciones, continentes y países","Estaciones, continentes y países",Medellín,Medellín,Nicaragua,Nicaragua,Iglesia del Carmen (La serena),,"AA.VV. Arte barroca brasileira. São Paulo: Decep, 1995.",Plumaria,,Sin definir - claroscuro,,,,,"Estaciones, continentes y países"
20,Aflicción y Duda/José y María,Juan Bautista Cuiris,Arpa,Carmelita,Mano levantada: juro,Letanías,Letanías,Letanías,Letanías,Letanías,Santa Fe de Antioquia,Santa Fe de Antioquia,Países Bajos,Países Bajos,Basilica y convento san Francisco (Buenos Aires),,"FERNÁNDEZ SALVADOR, Carmen y Alfredo Costales. Arte colonial quiteño. Renovado enfoque y nuevos actores. Quito: Fonsal, 2007.",Fotografía,,Terrestre / paisaje,,,,,Letanías
21,Alabado,Alfonso Álvarez de Urrutia,Palma con tres coronas,,"Dos brazos arriba: asevera, doble juramento",Alegorías órdenes y vida religiosa,Alegorías órdenes y vida religiosa,Alegorías órdenes y vida religiosa,Alegorías órdenes y vida religiosa,Alegorías órdenes y vida religiosa,Cartagena,Cartagena,Colombia,Colombia,Museo del Carmen (Villa de Leyva),,Fotografía Doris Bienko ,Tabla Enconchada,,Terrestre / ciudad - poblado,,,,,Alegorías órdenes y vida religiosa
22,"Alberto Magno, san",Alfonso de Zarate,Aureola ,Castillo,"Mano levantada: aprobar, obediencia",Alegorías no religiosas,Alegorías no religiosas,Alegorías no religiosas,Alegorías no religiosas,Alegorías no religiosas,Sutatausa,Sutatausa,Chile,Chile,Iglesia santa Clara de Asis (Lerma),,"SALVAT, Juan y Eduardo Crespo. Arte ecuatoriano, tomo II. Quito: Salvat Editores Ecuatoriana S.A., 1976.",Tapiz,,,,,,,Alegorías no religiosas
23,Alegoría a las virtudes, Allport,Aureola de rayos o luz ,,"Mano atrás: rechazar, repudiar",Sibilas,Sibilas,Sibilas,Sibilas,Sibilas,La Calera,La Calera,Costa rica,Costa rica,Convento dominico de Jesús María (Guadalajara),,"CRESPO TORAL, Hernán et al. Arte Ecuatoriano, tomo II. Quito: Salvat, 1976.",Técnica mixta madera,,,,,,,Sibilas
24,Alegorías a la Iglesia y vida cristiana,Alonso Cano,,,Mano adelante: invitar,Triunfos de la Virgen,Triunfos de la Virgen,Triunfos de la Virgen,Triunfos de la Virgen,Triunfos de la Virgen,Barichara,Barichara,Cuba,Cuba,Iglesia santa María la Redonda (CdMx),,"BARDI, Pietro Maria. Arte No Brasil. São Paulo: Livros Abril, 1982.",Técnica mixta Óleo tela madera,,,,,,,Triunfos de la Virgen
25,"Retrato eclesiástico académicos, bachilleres, rectores",Alonso de Arandia,,Arco o marco de flores,"Mano frente: rechazo, despedir, (también castigo)",Alegoría a las virtudes,Alegoría a las virtudes,Alegoría a las virtudes,Alegoría a las virtudes,Alegoría a las virtudes,Oiba,Oiba,Eslovenia,Eslovenia,Iglesia san Agustin (Cuenca),,"RODRÍGUEZ MOYA, Inmaculada (ed). Arte, poder e identidad en Iberoamérica: de los virreinatos a la construcción nacional. Barcelona: Universitat Jaume I, 2008.",Técnica mixta sobre tela,,,,,,,Alegoría a las virtudes
26,Alegorías bíblicas,Alonso de Narváez,Azucenas,,"Puño arriba: enojo, amenaza, odio",Zodiaco,Zodiaco,Zodiaco,Zodiaco,Zodiaco,Ubaté,Ubaté,República Dominicana,República Dominicana,Iglesia san Agustín (Guatemala),,"ORTIZ CRESPO, Alfonso y Adriana Pacheco Bustillos. Arte quiteño más allá de Quito. Memorias del seminario internacional. Quito: Fonsal, 2010.",Temple madera,,,,,,,Zodiaco
27,Alegorías Cristo adulto,Alonso de Ponte,Báculo,,Mano extendida: mendigar,Naves,Naves,Naves,Naves,Naves,Cali,Cali,Dinamarca,Dinamarca,Museo Altos de Chiapas (San Cristóbal de las Casas),,"VARGAS, José María. Arte Quiteño Colonial. Quito: Litografía e imprenta Romero, 1944.",Temple tela,,,,,,,Naves
28,Alegorías Cristo niño,A. Champin,Balanza,Conmemoración,"Extendida adelante: limosna, generoso, libre",Triunfos,Triunfos,Triunfos,Triunfos,Triunfos,Cómbita,Cómbita,Alemania,Alemania,Parador san Juan de Dios (San Cristóbal de las Casas),,"KENNEDY TROYA, Alexandra.  Arte de la Real Audiencia de Quito, siglos XVII-XIX: patronos, corporaciones y comunidades. Hondarribia: Nerea, 2002.",Azulejo,,,,,,,Triunfos
29,Alegorías de la Virgen y la inmaculada,Alonso Franco,,Conquista española,"Extender brazo al auxilio: piedad, dar alivio",Mística y devociones,Mística y devociones,Mística y devociones,Mística y devociones,Mística y devociones,Fúquene,Fúquene,Austria,Austria,Iglesia santo Domingo de Guzmán (San Cristobal de las Casas),,"Museo Nacional de Bellas Artes, Santiago de Chile. Exposición José Gil de Castro, pintor de libertadores.",Óleo en papel sobre madera,,,,,,,Mística y devociones
30,Alegorías Eucarísticas y el lagar,Alonso Fernández de Heredia,,Conversión,"Extender mano a alguien en piso: lástima, conmiseración",Moral pecado y redención,Moral pecado y redención,Moral pecado y redención,Moral pecado y redención,Moral pecado y redención,Cuitiva,Cuitiva,Estados Unidos,Estados Unidos,Iglesia Nuestra Señora del Pilar la Enseñanza (CdMx),,Pinterest ,Óleo sobre lámina / cobre / zinc,,,,,,,Moral pecado y redención
31,Alegorías imperiales y políticas,Alonso López de Herrera,Barco,,"Mano abierta golpeando: enojo, impaciencia",Beso de Judas,Beso de Judas,Beso de Judas,Beso de Judas,Beso de Judas,Funza,Funza,Venezuela,Venezuela,Catedral san Marcos (Tuxtla Gutiérrez),,"LAVALLE, José Antonio y Werner Lang. Arte y tesoros del Perú. Lima: Santiago Valverde S.A, 1978.",Óleo sobre grabado,,,,,,,Beso de Judas
32,Alegorías no religiosas,Alonso O’Crowley,,,Mover mano hombros al frente: animar,Primer coro angélico,Primer coro angélico,Primer coro angélico,Primer coro angélico,Primer coro angélico,Belencito,Belencito,Italia,Italia,Catedral san Cristóbal (San Cristóbal de las Casas),,"Retrato Novohispano. Artes de México, No. 25 (julio-agosto 1994).",Óleo porcelana,,,,,,,Primer coro angélico
33,Alegorías órdenes y vida religiosa,Alonso Sánchez Coello,,,Levantar derecha estirada: hacer algo,Segundo coro angélico,Segundo coro angélico,Segundo coro angélico,Segundo coro angélico,Segundo coro angélico,Bonza,Bonza,Argentina,Argentina,Iglesia María Reina de los Ángeles (Urquillos),,http://www.bellasartes.co.cu/galeria/arte-en-la-colonia,Óleo sobre concha,,,,,,,Segundo coro angélico
34,"Caída, la",Alonso Vázquez,,,Entregar algo,Consolado por ángeles,Consolado por ángeles,Consolado por ángeles,Consolado por ángeles,Consolado por ángeles,Chiquinquirá,Chiquinquirá,Israel,Israel,Museo Diocesano de los Santos y Beatos Mártires Mexicanos (Guadalajara),,"PIERCE, Donna. The arts of South America,1492-1850: papers from the 2008 Mayer Center Symposium at the Denver Art Museum. Denver: Denver Art Museum, 2010.",Temple sobre marfil,,,,,,,Consolado por ángeles
35,Adoración de los pastores,Alonso Vera de la Cruz,,Cortinaje,Movimiento afememinado: ayuda a sí mismo,Tercer coro angélico,Tercer coro angélico,Tercer coro angélico,Tercer coro angélico,Tercer coro angélico,Ráquira,Ráquira,Irlanda,Irlanda,Iglesia La Compañía de Jesús (Ayacucho),,https://pinturascolonialesvenezolanas.wordpress.com/,Acuarela sobre marfil,,,,,,,Tercer coro angélico
36,Alegorías sagrada familia,Alvan Fisher,,,Palma arriba extendida: no posee nada,Ciclo Libros históricos,Ciclo Libros históricos,Ciclo Libros históricos,Ciclo Libros históricos,Ciclo Libros históricos,Tobasía,Tobasía,Canadá,Canadá,Iglesia de la Tercera Orden Franciscana (León),,"TRUSTED, Marjorie. The arts of Spain: Iberia and Latin América,1450-1700. London: Victoria and Albert Museum Publications; New York: The Hispanic Society of America, 2007.",Grabado,,,,,,,Ciclo Libros históricos
37,Alejandro VII,Ambrose Duval,Monedas ,Cuatro continentes,Mano estirada: castigo,Ciclo Pentateuco,Ciclo Pentateuco,Ciclo Pentateuco,Ciclo Pentateuco,Ciclo Pentateuco,Cerrito,Cerrito,Bermudas,Bermudas,Iglesia y convento de la Merced (Atlixco),,https://issuu.com/mortonsubastas/docs/870_antigu_edades_cata_logo_digital,Témpera sobre tela,,,,,,,Ciclo Pentateuco
38,"Alejo, san",Ambrosio del Pino,Bosque,,"Puño: venganza, reclama justicia",Ciclo Profetas,Ciclo Profetas,Ciclo Profetas,Ciclo Profetas,Ciclo Profetas,Bojacá,Bojacá,Malta,Malta,Iglesia Nuestra Señora de la Caridad (San Cristóbal de las Casas),,ArtStore.,Sepia sobre papel,,,,,,,Ciclo Profetas
39,Asunción de la Virgen,Ammi Phillips,,,"Golpe palma sobre superficie: reprender, corregir",Escenas bíblicas varias,Escenas bíblicas varias,Escenas bíblicas varias,Escenas bíblicas varias,Escenas bíblicas varias,Cucunubá,Cucunubá,Mónaco,Mónaco,Colección particular,,"GONZALEZ CARRÉ, Enrique et al. Ayacucho. San Juan de la Frontera de Huamanga. Lima: Banco de Crédito del Perú, 1997.",Grafito sobre papel,,,,,,,Escenas bíblicas varias
40,"Alipio de Tagaste, san",Andrés de la Concha,Buey,,Agarra: acción de autoridad,Carmen con niño,Carmen con niño,Carmen con niño,Carmen con niño,Carmen con niño,Tópaga,Tópaga,Bélgica,Bélgica,Iglesia san Vicente Ferrer (Santiago),,"GJURINOVIC, Pedro y Eduardo Barbosa. Vicerregal Peruvian Art, Barbosa Stern Collection. Lima: Museum of Modern Art of Latin America, 1989.",Pastel,,,,,,,Carmen con niño
41,Alonso Rodriguez,Andrés de Liébana,Burro / Asno ,,Quitar mano sobre alguien: liberar,Carmen protectora,Carmen protectora,Carmen protectora,Carmen protectora,Carmen protectora,Samacá,Samacá,Uruguay,Uruguay,Iglesia san Pedro Apóstol (Cuzco),,"SCOBRY LEACEY, Dominique. El barroco en Los andes. Quito: Amtex, 2000.",Tinta sobre papel,,,,,,,Carmen protectora
42,Última cena,Andrés Islas,Caballo,Escapulario,"Tocar espalda: Incitar, animar",Carmen y purgatorio,Carmen y purgatorio,Carmen y purgatorio,Carmen y purgatorio,Carmen y purgatorio,La Ceja,La Ceja,,,Casa Magdalena Arte (Puebla),,"CAMPOS, Norma (ed.). Barroco Andino. Memoria del I Encuentro Internacional sobre Barroco. La Paz: Unión Latina, 2003.",Sepia sobre marfil,,,,,,,Carmen y purgatorio
43,Coronación de la Virgen,F. Almeida,,Disciplina,"Acariciar cabeza: humor, afecto",Carmen con santos,Carmen con santos,Carmen con santos,Carmen con santos,Carmen con santos,Tuscaloosa,Tuscaloosa,,,Iglesia santa Lucía (San Cristóbal de las Casas),,"CAMPOS, Norma (ed.). Barroco y fuentes de la diversidad cultural. Memoria del II Encuentro Internacional sobre Barroco. La Paz: Unión Latina, 2004.",Esmalte sobre porcelana,,,,,,,Carmen con santos
44,"Amadeo IX de Saboya, Beato",Andrés Lagarto,Cadena,,Sostener suave mano: amonestar o persuadir,Carmen sin niño,Carmen sin niño,Carmen sin niño,Carmen sin niño,Carmen sin niño,Oicatá,Oicatá,,,"Iglesia san Nicolás de Tolentino (Salamanca, Gto.)",,"Carmen V. Vidaurre & Nicolás Sergio Ramos. Arquitectura y arte Barroco en Guadalajara, Nueva Galicia, Tomo II. Universidad de Guadalajara, 2006.",Gouache,,,,,,,Carmen sin niño
45,"Ambrosio, san",Andrés López,,Dominicos,Apoyar mano en otro: confianza amistad,Esdras,Esdras,Esdras,Esdras,Esdras,Tobasía,Tobasía,,,Gran Museo del Mundo Maya (Mérida),,"MUJICA, Ramón et al. El Barroco peruano. Lima: Banco de Crédito, 2002.",Esmalte sobre cobre,,,,,,,Esdras
46,América (alegoría),Andrés Pozzo,Copa / Cáliz ,,Impedir agarrar mano: detener obstaculos,Clavado en cruz,Clavado en cruz,Clavado en cruz,Clavado en cruz,Clavado en cruz,Guane,Guane,,,Catedral santos Felipe y Santiago (Azcatpozalco),,Fotografía Andrés Oliver Ucros,Óleo sobre marfil,,,,,,,Clavado en cruz
47,Américo Vespucio,Andrés Sánchez Galque,,Emblema,Empujar con codo: recuerdo,Virgen de la sabiduría,Virgen de la sabiduría,Virgen de la sabiduría,Virgen de la sabiduría,Virgen de la sabiduría,Siachoque,Siachoque,,,Museo Histórico Dominico (Santiago de Chile),,Fotografía Rodrigo Villalobos,Óleo sobre vidrio,,,,,,,Virgen de la sabiduría
48,Amos,Andrew Robertson,,,"Entregar tomar mano: presentar, recomendar",Mater Amabilis,Mater Amabilis,Mater Amabilis,Mater Amabilis,Mater Amabilis,Las Lajas,Las Lajas,,,Iglesia Antiguo Hospital Real de san Cosme y Damián (Oaxaca),,"MUJICA, Ramón et al. El Barroco peruano. Lima: Banco de Crédito, 2003.",Grafito sobre tela,,,,,,,Mater Amabilis
49,Amos Morrow,Ángel María Camponeschi,,,Llevar de la mano: cuidar débiles,Eliseo,Eliseo,Eliseo,Eliseo,Eliseo,El Retiro,El Retiro,,,Iglesia La Compañía de Jesús (Arequipa),,Fotografía Ricardo Uribe,Miniatura,,,,,,,Eliseo
50,Ana Antonia Teresa Delgadillo y Zotomayor,Angelino Medoro,Canasta ,Escudo de armas,"Mano cabeza: angustia, tristeza",Ciclo libros sapienciales,Ciclo libros sapienciales,Ciclo libros sapienciales,Ciclo libros sapienciales,Ciclo libros sapienciales,Carmen de Viboral,Carmen de Viboral,,,Iglesia convento santa Clara (Lima),,"Borja, Jaime. Los ingenios del pincel. Bogotá, 2019. Recuperado de https://losingeniosdelpincel.uniandes.edu.co/#!/intro/1",Óleo sobre plata,,,,,,,Ciclo libros sapienciales
51,Ana Cristina Pablo Fernandez Arteaga Mendizábal,Angelus Nardi,,,"Rascarse cabeza: angustia, reflexión",Job,Job,Job,Job,Job,Corinto,Corinto,,,Pinacoteca Juan Gamboa Guzmán (Mérida),,"Carmen V. Vidaurre & Nicolás Sergio Ramos. Arquitectura y arte Barroco en Guadalajara, Nueva Galicia, Tomo I. Universidad de Guadalajara, 2006.",Óleo sobre piedra,,,,,,,Job
52,Milagro de Soriano,Anna Claypoole Peale,Cántaro,,Taparse la cara: vergüenza,Imágenes devocionales,Imágenes devocionales,Imágenes devocionales,Imágenes devocionales,Imágenes devocionales,Buriticá,Buriticá,,,"Capilla del Divino Maestro (Mérida, Yuc.)",,"Almerindo Ojeda. Catálogo exposición De Amberes Al Cusco: El Grabado Europeo Como Fuente del Arte Virreinal. Pessca, 2009. ",Grabado metal bordado,,,,,,,Imágenes devocionales
53,"Eustaquio, san", Anónimo,Caña,,"Besar mano: adora, respeto",Ciclo Pasión,Ciclo Pasión,Ciclo Pasión,Ciclo Pasión,Ciclo Pasión,Sopetrán,Sopetrán,,,Iglesia san Andrés Apóstol (San Andrés Cholula),,"LOHMANN, Guillermo et al. La basílica catedral de Lima. Lima: Banco de Crédito, 2004.",Grabado metal iluminado,,,,,,,Ciclo Pasión
54,"Ana de San Bartolomé, Beata ",Anselmo López,Capa ,,"Mandar beso: amor, respeto a lejanos",Ciclo Vida Pública,Ciclo Vida Pública,Ciclo Vida Pública,Ciclo Vida Pública,Ciclo Vida Pública,San Pedro de los Milagros,San Pedro de los Milagros,,,Iglesia san Sebastian (Huancavelica),,"BUCHER, Bernadette. America: bride of the sun: 500 years Latin America and the Low Countries. Bruselas: Ministerie van de Vlaamse Gemeenschap, Administratie Externe Betrekkingen; Gent: Imschoot, 1991.",Oleo sobre carey,,,,,,,Ciclo Vida Pública
55,Barrabás,Anson Dickinson,Cárcel / celda ,Eucaristía,"Mano abierta sobre corazón: afirmar testimonio, jura",Devociones al crucificado,Devociones al crucificado,Devociones al crucificado,Devociones al crucificado,Devociones al crucificado,Jardín Antioquia,Jardín Antioquia,,,Palacio Arzobispal (Bogotá),,"Alejandro Andrade, et Alt. Guía de patrimonio religioso de la ciudad de Puebla. Ayuntamiento de Puebla, 2015.",Óleo sobre espejo,,,,,,,Devociones al crucificado
56,"Francisco Javier, Predicación de san",Antonio Acero de la Cruz,Carro de triunfo,Europa,"Golpe de pecho: dolor, contriccion, vergüenza",Postrimerías,Postrimerías,Postrimerías,Postrimerías,Postrimerías,Marinilla,Marinilla,,,Museo de la Basílica de Guadalupe (CdMx) ,,"SIGAUT, Nelly y José Juárez. Recursos y discursos del arte de pintar. México: Museo Nacional de Arte, 2002.",Temple sobre algodón,,,,,,,Postrimerías
57,Caifás,Antonio Anselmo Benítez,,Éxtasis,"Mano espalda, cadera: dolor",Sacramentos,Sacramentos,Sacramentos,Sacramentos,Sacramentos,Guasca,Guasca,,,Iglesia y convento Museo del Carmen (CdMx),,"OLIVEIRA, Carla Mary S. O Barroco na Paraíba: arte, religião e conquista. Editora Universitária/UFPB; IESP, 2003.",Óleo sobre pergamino,,,,,,,Sacramentos
58,Ana Josefa de Guzmán y Lecaros de Larraín Lecaros,Antonio Astudillo,,Familia,"Golpearse muslo: enojo, admiracion, asombro",Trinidad,Trinidad,Trinidad,Trinidad,Trinidad,Ayapango,Ayapango,,,Catedral Nuestra señora de la Asunción (Aguascalientes),,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",Mezzotinta,,,,,,,Trinidad
59,Ana María de la Campa Cos,Antonio Azuero,,,"Dar mano con golpe: fe, fidelidad, compromiso",Santas,Santas,Santas,Santas,Santas,Puebla,Puebla,,,Iglesia conventual san Francisco de Asís (Oaxaca),,"GISBERT DE MESA, Teresa y Teresa Villegas de Anleiva. Museo Nacional de Arte. Catálogo de Obras Maestras. La  Paz: Museo Nacional de Arte, 2005.",Crayón,,,,,,,Santas
60,"Francisco Javier, Visión de ",Antonio Bermejo,,Franciscanos,"Dar mano: amistad, saludo, benevolencia",Advocaciones,Advocaciones,Advocaciones,Advocaciones,Advocaciones,Ixtaltepec,Ixtaltepec,,,Iglesia del Carmen (Maipú),,https://www.facebook.com/MamaPillicha/photos/t%C3%ADtulo-la-virgen-peregrina-y-el-ni%C3%B1oartista-an%C3%B3nimo-escuela-cusque%C3%B1a-per%C3%BAtipo-pi/1959157467696569/,Bordado/seda,,,,,,,Advocaciones
61,"Francisco Javier, san",Antonio Cárdenas,Cayado / Bastón ,,"Exprimir mano: amor, deber, suplica, virtud",Vida de la Virgen,Vida de la Virgen,Vida de la Virgen,Vida de la Virgen,Vida de la Virgen,México CdMx,México CdMx,,,Iglesia Nuestra Señora de la Purificación (San José Teotihuacán),,"MONTES GONZÁLEZ, Francisco. Pintura virreinal americana en Sevilla. Contextos, historiografía y nuevas aportaciones. Archivo Hispalense, 2008, vol. 276, no 278, p. 371-373.",,,,,,,,Vida de la Virgen
62,"Ana Monteagudo, beata",Antonio Cortés,Cedro,,"Quitar mano al darla: enemistad, rabia",Relatos vida virgen conjunto,Relatos vida virgen conjunto,Relatos vida virgen conjunto,Relatos vida virgen conjunto,Relatos vida virgen conjunto,Mérida (Yuc.),Mérida (Yuc.),,,Iglesia y convento san Diego de Alcalá (Guanajuato),,"RUIZ, Rogelio, Nelly Sigaut y Jaime Cuadriello. Catálogo comentado del acervo del Museo Nacional de Arte, Tomo II. México: Conaculta, 2004.",,,,,,,,Relatos vida virgen conjunto
63,"Ana, santa",Antonio de Campo,,,Abrazar: tenerlo en corazón,Historia de la conquista,Historia de la conquista,Historia de la conquista,Historia de la conquista,Historia de la conquista,Taxco,Taxco,,,Iglesia san Agustín (Oaxaca),,Fotografía Raquel Gagligliano,,,,,,,,Historia de la conquista
