id,artwork_id,description_id,nombre
58119,52,10,Ángeles / querubines
58120,52,10,Ángeles / querubines
58121,52,20,Carmelita
58129,52,202,Imagen en la imagen
58131,52,245,Monjas 
58132,52,245,Monjas 
58136,52,99,Órdenes religiosas
58141,52,346,Obispo / arzobispo
58395,52,57,Éxtasis
126184,52,161,Brocados (flores o dorados) 
132069,52,289,Hábito
133850,52,202,Imagen en la imagen
144178,52,163,Túnica
146540,52,242,Velo
58142,53,10,Ángeles / querubines
58143,53,10,Ángeles / querubines
58144,53,20,Carmelita
58149,53,245,Monjas 
58150,53,245,Monjas 
58151,53,448,Monjes
58155,53,99,Órdenes religiosas
132070,53,289,Hábito
144179,53,163,Túnica
146541,53,242,Velo
58158,54,10,Ángeles / querubines
58159,54,10,Ángeles / querubines
58165,54,245,Monjas 
58166,54,245,Monjas 
58170,54,99,Órdenes religiosas
58171,54,10,Ángeles / querubines
58172,54,10,Ángeles / querubines
132071,54,289,Hábito
144180,54,163,Túnica
146542,54,242,Velo
58177,55,10,Ángeles / querubines
58178,55,10,Ángeles / querubines
58179,55,20,Carmelita
58185,55,245,Monjas 
58186,55,245,Monjas 
58190,55,99,Órdenes religiosas
58191,55,10,Ángeles / querubines
58192,55,10,Ángeles / querubines
132072,55,289,Hábito
142416,55,429,Tintero y pluma
50968,55,429,Tintero y pluma
142832,55,429,Tintero y pluma
146543,55,242,Velo
58198,56,10,Ángeles / querubines
58199,56,10,Ángeles / querubines
58200,56,20,Carmelita
58204,56,245,Monjas 
58205,56,245,Monjas 
58209,56,99,Órdenes religiosas
58210,56,100,Paisaje
136793,56,100,Paisaje
132073,56,289,Hábito
144181,56,163,Túnica
146544,56,242,Velo
58267,57,20,Carmelita
58268,57,338,Escritura
58269,57,338,Escritura
58271,57,245,Monjas 
58272,57,245,Monjas 
58276,57,99,Órdenes religiosas
136794,57,100,Paisaje
132074,57,289,Hábito
135470,57,84,Mesa
142417,57,429,Tintero y pluma
51050,57,429,Tintero y pluma
142833,57,429,Tintero y pluma
144182,57,163,Túnica
146545,57,242,Velo
58279,58,10,Ángeles / querubines
58280,58,10,Ángeles / querubines
58281,58,20,Carmelita
58288,58,245,Monjas 
58289,58,245,Monjas 
58290,58,90,Muerte / sepulcro
58294,58,99,Órdenes religiosas
132075,58,289,Hábito
144183,58,163,Túnica
146546,58,242,Velo
58297,59,10,Ángeles / querubines
58298,59,10,Ángeles / querubines
58299,59,8,Aparición
58300,59,20,Carmelita
58303,59,245,Monjas 
58304,59,245,Monjas 
58309,59,99,Órdenes religiosas
136675,59,95,Oración
132076,59,289,Hábito
144184,59,163,Túnica
146547,59,242,Velo
107656,60,130,Penitencia
58325,61,20,Carmelita
58328,61,245,Monjas 
58329,61,245,Monjas 
58333,61,99,Órdenes religiosas
58334,61,100,Paisaje
136795,61,100,Paisaje
132077,61,289,Hábito
139962,61,364,Sombrero
58339,62,20,Carmelita
58344,62,245,Monjas 
58345,62,245,Monjas 
58349,62,99,Órdenes religiosas
58350,62,100,Paisaje
136796,62,100,Paisaje
139963,62,364,Sombrero
23005,63,10,Ángeles / querubines
23008,63,65,Iglesia
58354,64,10,Ángeles / querubines
58355,64,10,Ángeles / querubines
58356,64,20,Carmelita
58359,64,245,Monjas 
58360,64,245,Monjas 
58364,64,99,Órdenes religiosas
58394,64,246,Convento
129026,64,246,Convento
132078,64,289,Hábito
58367,65,20,Carmelita
58371,65,245,Monjas 
58372,65,245,Monjas 
58376,65,99,Órdenes religiosas
58377,65,100,Paisaje
58393,65,246,Convento
129027,65,246,Convento
132079,65,289,Hábito
146548,65,242,Velo
58380,66,20,Carmelita
58381,66,246,Convento
58384,66,245,Monjas 
58385,66,245,Monjas 
58389,66,99,Órdenes religiosas
58390,66,100,Paisaje
136797,66,100,Paisaje
129028,66,246,Convento
132080,66,289,Hábito
144185,66,163,Túnica
146549,66,242,Velo
26524,67,291,Apóstoles 
26526,67,150,Naturaleza
26528,67,157,Soldados
26529,67,163,Túnica
139964,67,364,Sombrero
58397,68,20,Carmelita
58400,68,202,Imagen en la imagen
58402,68,245,Monjas 
58403,68,245,Monjas 
58407,68,99,Órdenes religiosas
58408,68,100,Paisaje
136676,68,95,Oración
129029,68,246,Convento
132081,68,289,Hábito
133851,68,202,Imagen en la imagen
144186,68,163,Túnica
146550,68,242,Velo
89301,69,10,Ángeles / querubines
89302,69,10,Ángeles / querubines
58412,70,10,Ángeles / querubines
58413,70,10,Ángeles / querubines
58414,70,20,Carmelita
58420,70,202,Imagen en la imagen
58423,70,245,Monjas 
58424,70,245,Monjas 
58428,70,99,Órdenes religiosas
58429,70,130,Penitencia
136677,70,95,Oración
127480,70,780,Candelabro
130369,70,43,Disciplina
132082,70,289,Hábito
58433,71,20,Carmelita
58437,71,202,Imagen en la imagen
58438,71,245,Monjas 
58439,71,245,Monjas 
58443,71,99,Órdenes religiosas
58444,71,130,Penitencia
132083,71,289,Hábito
133852,71,202,Imagen en la imagen
13560,72,10,Ángeles / querubines
58447,73,10,Ángeles / querubines
58448,73,10,Ángeles / querubines
58449,73,20,Carmelita
58453,73,245,Monjas 
58454,73,245,Monjas 
58458,73,99,Órdenes religiosas
58459,73,10,Ángeles / querubines
58460,73,10,Ángeles / querubines
131712,73,678,Flechas
132084,73,289,Hábito
134282,73,477,Lanza
144187,73,163,Túnica
146551,73,242,Velo
23817,74,163,Túnica
58464,75,10,Ángeles / querubines
58465,75,10,Ángeles / querubines
58466,75,20,Carmelita
58469,75,245,Monjas 
58470,75,245,Monjas 
58475,75,99,Órdenes religiosas
131713,75,678,Flechas
132085,75,289,Hábito
134283,75,477,Lanza
6396,76,10,Ángeles / querubines
6398,76,163,Túnica
58479,77,10,Ángeles / querubines
58480,77,10,Ángeles / querubines
58481,77,291,Apóstoles 
58482,77,20,Carmelita
58487,77,245,Monjas 
58488,77,245,Monjas 
58492,77,99,Órdenes religiosas
132086,77,289,Hábito
146552,77,242,Velo
4509,78,10,Ángeles / querubines
4510,78,10,Ángeles / querubines
4511,78,11,Armadura / yelmo
4514,78,120,Sol y luna
