id,Nombre,Nombre de registro
164,Levantar o alargar algunos de los dedos: bendición como silencio,D30 Levantar o alargar algunos de los dedos Bendicion como silencio inculcar puntos
165,Compuesto: pecho - abajo palma piso,G01 Pecho abajo palma piso
166,Compuesto: palma frente - Abajo arriba,G02 Palma frente Abajo arriba
167,Compuesto: palma frente - lado abajo,G02B Palma frente lado abajo
168,Compuesto: palma frente - arriba abierta,G02C Palma frente arriba abierta
169,Compuesto: mano al pecho - mano abierta,G03 Pecho y abierta
170,Compuesto: pecho - abierta arriba,G03B pecho abierta arriba
171,Compuesto: pecho extendida vertical,G03C pecho extendida karate
172,Compuesto: Palma piso - abajo abierta,G04 Palma piso abajo abierta
173,Compuesto: señala arriba - abierta,G05 Señala arriba y abierta
174,Compuesto: dos abiertas al frente,G06 Abiertas al frente dos tiempos
175,Compuesto: brazos lados ,G07 Brazos lados posición
176,Compuesto: mano bendice - otra pecho,G08 manos bendice otra pecho
177,Compuesto: frente en V - palma,G09 Frente en V y palma
178,Compuesto: bendice V - pecho,G10 Bendice V y pecho
179,Compuesto: mano abajo abierta - arriba diversa,G11 Mano abajo abierta arriba diversa
180,Compuesto: señalar - gestos varios,G11B señalar y gestos varios
181,Compuesto: palma frente - abajo palma abajo,G12 Palma frente abajo palma abajo
182,Compuesto: mano arriba - palma abierta arriba,G13 Mano arriba palma abierta arriba
183,Compuesto: dedo doblado - mano abajo,G14 Dedo doblado mano abajo
184,Compuesto: mano frente - otra posicion,G14A mano frente otra posicion
185,Compuesto: brazos semiabiertos hombros,G15 Brazos semiabiertos hombros
186,Compuesto: brazos extendidos arriba,G15A brazos extendidos arriba
187,Compuesto: brazos hombros abajo,G15AA Brazos hombros abajo
188,Compuesto: señala arriba - indica con la otra,G16 Señana arriba e indica con la otra
189,Compuesto: abajo posiciones lado,G17 Abajo posiciones lado
190,Autoseñalarse con gesto,G18 autoseñalarse con gesto
191,"Compuesto: brazos apuntan una dirección, rostro otra",G19 bailadora
192,Compuesto: mano pecho - indicar,G19B mano pecho indicar
193,Compuesto: bendecir - mano estirada,G20 Bendecir estirar mano
194,Compuesto: brazo abiertos - palma frente piso,G21 brazo abiertos palma frente piso
195,Compuesto: brazo estirado frente - brazo abajo,G22 Brazo estirado y abajo
196,Sostener cabeza: meditar,"N01 Sosteniendo cabeza, medita"
197,"Dedos frente cabeza: pensar, reflexión","N02 Dedos frente cabeza, pensar"
198,Soster cabeza con palma: melancolía,"N03 Sostiene cabeza, melancolia"
199,Abrir pecho: fuego místico,N04 Abrir pecho
200,Manos/brazos cruzadas pecho,N05 Manos/brazos cruzadas Pecho
201,Manos atadas: sacrificio,"N06 Manos atadas, sacrificio"
202,Mano semiescondida pecho,N07 Mano semiescondida pecho
203,Mano frente dedos apuntan: señalar,N08 Mano frente dedos apuntan
204,Mano frente ladeada dedos,N09 Mano frente ladeada dedos
205,Mano frente abajo señala: indicar inferior,N10 Mano frente abajo señala
206,Mano palma al frente,N11 Mano palma al frente
207,Mano en la frente: saludo con respeto,"N12 Ademán saludo con frente, respeto"
208,Mano derecha tres dedos: bendición o pedir silencio,"N13 Bendición tres dedos, D01 pedir silencio"
209,Mano abajo indica: señalar,N14 Mano abajo señala 2
210,Mano abajo forma tenedor,N15 Mano abajo forma tenedor
211,Mano frente forma garra,N16 Mano frente forma garra
212,Palmas arriba:,N17 Palmas arriba
213,Mano al lado de frente:,N18 Mano al lado de frente
214,Palma abierta abajo:,N19 Palma abierta abajo
215,Palma contra piso:,N20 Palma contra piso
216,Mano a cintura:,N21 Mano a cintura
217,Dedos foma de V: bendición,N22 Dedos V bendicion
218,Dos manos tocandose punta dedos: meditación,N23 Dedos puntas meditación
219,Palma arriba: señalar,N24 Señalar con palma arriba
220,Señalar mano,N25 Señalar mano
221,Acariciar rostro: afecto,N26 Acariciar cara
222,"Tocar pie: humildad, sometimiento",N27 Tocar pie
223,"Manos entrelazadas: melancolía, espera",N28 Manos entrelazadas
224,"Manos entrelazadas, dedos posición:",N28A dedos posicion
225,Compuesto: brazos abiertos - mano en v,N29 brazos abiertos v y otro
226,Manos bolsillos:,N30 Manos Bolsillos
227,Mano frente palma abajo:,N31 mano frente palma abajo
228,Palma arriba al frente:,N32 Palma arriba al frente
229,Muecas y gestos: burla,N33 Muecas y gestos.
230,Abajo mano golpea otra:,N34 Abajo mano golpea otra
231,"Tomarse la mano a sí: Esperar, paciencia",N35 Tomarse la mano a si
232,Mano abierta contra el piso: derrota,N36 Mano abierta contra el piso derrota
233,Brazos cruzados:,N37 Brazos cruzados
234,Manos entrelazadas:,N38 manos entrelazadas
235,Dos dedos en cintura:,N39 Dos dedos cintura
236,Cuerno dedos abajo:,N40 cuerno abajo
