id,artwork_id,description_id
136797,66,100
129028,66,246
132080,66,289
144185,66,163
146549,66,242
26524,67,291
26526,67,150
26528,67,157
26529,67,163
139964,67,364
58397,68,20
58400,68,202
58402,68,245
58403,68,245
58407,68,99
58408,68,100
136676,68,95
129029,68,246
132081,68,289
133851,68,202
144186,68,163
146550,68,242
89301,69,10
89302,69,10
58412,70,10
58413,70,10
58414,70,20
58420,70,202
58423,70,245
58424,70,245
58428,70,99
58429,70,130
136677,70,95
127480,70,780
130369,70,43
132082,70,289
58433,71,20
58437,71,202
58438,71,245
58439,71,245
58443,71,99
58444,71,130
132083,71,289
133852,71,202
13560,72,10
58447,73,10
58448,73,10
58449,73,20
58453,73,245
58454,73,245
58458,73,99
58459,73,10
58460,73,10
131712,73,678
132084,73,289
134282,73,477
144187,73,163
146551,73,242
23817,74,163
58464,75,10
58465,75,10
58466,75,20
58469,75,245
58470,75,245
58475,75,99
131713,75,678
132085,75,289
134283,75,477
6396,76,10
6398,76,163
58479,77,10
58480,77,10
58481,77,291
58482,77,20
58487,77,245
58488,77,245
58492,77,99
132086,77,289
146552,77,242
4509,78,10
4510,78,10
4511,78,11
4514,78,120
58497,79,291
58498,79,20
58499,79,245
58500,79,245
58504,79,99
132087,79,289
144188,79,163
146553,79,242
15790,80,163
58507,81,20
58514,81,245
58515,81,245
58520,81,99
58521,81,10
58522,81,10
58526,81,129
132088,81,289
144189,81,163
146554,81,242
5938,82,10
58527,83,10
58528,83,10
58529,83,20
58537,83,245
58538,83,245
58543,83,99
58544,83,10
58545,83,10
58549,83,129
144190,83,163
146555,83,242
58550,84,20
58555,84,245
58556,84,245
58561,84,99
58562,84,10
58563,84,10
58566,84,129
132089,84,289
144191,84,163
146556,84,242
17,85,11
6418,85,10
124697,85,11
134284,85,477
8130,85,429
142834,85,429
58586,86,10
58587,86,10
58588,86,20
58594,86,245
58595,86,245
58599,86,99
58600,86,100
58601,86,10
58602,86,10
58605,86,129
136798,86,100
132090,86,289
146557,86,242
3787,87,11
3789,87,120
5187,87,429
142835,87,429
58607,88,20
58613,88,245
58614,88,245
58619,88,99
58623,88,129
132091,88,289
144192,88,163
146558,88,242
89312,89,10
3081,90,11
3085,90,120
3087,90,10
124698,90,11
125132,90,281
58625,91,342
58626,91,20
58628,91,85
58629,91,245
58630,91,245
58634,91,99
125467,91,342
136678,91,95
132092,91,289
58637,92,342
58638,92,20
58640,92,85
58641,92,245
58642,92,245
58646,92,99
125468,92,342
132093,92,289
146559,92,242
89316,93,10
58649,94,10
58650,94,10
58651,94,20
58654,94,132
58659,94,245
58660,94,245
58664,94,99
58665,94,100
58666,94,10
58667,94,10
136799,94,100
132094,94,289
146450,94,697
89308,95,10
58670,96,10
58671,96,10
58673,96,132
58677,96,245
58678,96,245
58682,96,99
58683,96,10
58684,96,10
132095,96,289
146560,96,242
58687,97,10
58688,97,10
58689,97,20
58691,97,132
58695,97,245
58696,97,245
58700,97,99
58701,97,100
136800,97,100
132096,97,289
144193,97,163
146561,97,242
7118,98,163
138227,98,693
58704,99,10
58705,99,10
58709,99,57
58710,99,202
58711,99,245
58712,99,245
58715,99,346
58717,99,99
132097,99,289
133853,99,202
144194,99,163
146562,99,242
17809,100,163
17810,100,164
17811,100,11
104366,100,3
104413,100,678
127838,100,11
58722,101,20
58724,101,57
58727,101,202
58728,101,245
58729,101,245
58732,101,346
58734,101,99
126185,101,161
132098,101,289
133854,101,202
144195,101,163
146563,101,242
58739,102,20
58743,102,57
58746,102,245
58747,102,245
58750,102,346
58752,102,99
126186,102,161
132099,102,289
144196,102,163
144197,102,163
146564,102,242
7121,103,163
134285,103,477
138228,103,693
58755,104,10
58756,104,10
58760,104,245
58761,104,245
58762,104,448
58765,104,100
136801,104,100
132100,104,289
144198,104,163
146565,104,242
24514,105,10
24516,105,10
134286,105,477
58769,106,20
58771,106,245
58772,106,245
58773,106,448
58777,106,99
132101,106,289
144199,106,163
146566,106,242
136594,107,448
58782,107,245
58783,107,245
58784,107,448
58788,107,99
58789,107,100
136802,107,100
132102,107,289
144200,107,163
146567,107,242
15831,108,10
15832,108,10
15833,108,11
15835,108,120
125133,108,281
58793,109,20
58798,109,245
58799,109,245
58800,109,448
58804,109,99
58805,109,100
136803,109,100
132103,109,289
146568,109,242
4743,110,11
4745,110,120
4746,110,10
58808,111,10
58809,111,10
58810,111,20
58812,111,245
58813,111,245
58817,111,99
58818,111,100
136804,111,100
132104,111,289
144201,111,163
146569,111,242
58821,112,10
58822,112,10
58823,112,20
58824,112,245
58825,112,245
58829,112,99
136805,112,100
132105,112,289
144202,112,163
146570,112,242
23109,113,10
23112,113,10
23113,113,120
58832,114,20
58837,114,245
58838,114,245
58839,114,448
58843,114,99
136679,114,95
132106,114,289
144203,114,163
146571,114,242
58897,115,10
58898,115,10
58899,115,20
58904,115,245
58905,115,245
58909,115,99
58910,115,108
132107,115,289
144204,115,163
146572,115,242
69995,116,10
69997,116,132
69998,116,10
18666,117,150
18668,117,163
18670,117,338
58913,118,20
58914,118,338
58915,118,338
58917,118,245
58918,118,245
58922,118,99
130411,118,515
132108,118,289
135471,118,84
142418,118,429
51356,118,429
142836,118,429
144205,118,163
146573,118,242
89319,120,10
89320,120,10
58925,121,10
58926,121,10
58927,121,20
58932,121,245
58933,121,245
58934,121,90
58938,121,99
58939,121,10
58940,121,10
127042,121,225
33854,122,85
58943,123,10
58944,123,10
58945,123,20
58949,123,245
58950,123,245
58951,123,90
58955,123,99
127043,123,225
132109,123,289
146574,123,242
58958,124,10
58959,124,10
58960,124,20
58965,124,245
58966,124,245
58967,124,90
58971,124,99
127044,124,225
144206,124,163
144207,124,163
146575,124,242
115765,125,180
125842,126,525
131338,126,447
124477,127,8
58974,127,8
58975,127,20
58977,127,245
58978,127,245
58982,127,99
132110,127,289
136420,127,85
144208,127,163
146576,127,242
21252,128,10
21253,128,35
21254,128,58
21256,128,84
21258,128,225
21259,128,342
21260,128,355
131479,128,58
134002,128,708
89225,130,10
89226,130,10
203,131,82
87264,131,82
93469,133,536
139965,133,364
124427,134,490
80745,134,137
80750,134,332
80751,134,87
124699,134,11
136680,134,95
129728,134,735
144209,134,163
146577,134,242
110264,135,4
110266,135,60
110268,135,572
110269,135,85
128730,135,4
135472,135,84
1966,136,3
1967,136,10
1973,136,100
1975,136,150
1976,136,163
133761,136,254
36376,137,10
36378,137,536
127607,137,137
139212,137,328
139966,137,364
141347,137,216
143958,137,633
144210,137,163
62792,139,291
62793,139,225
70000,140,10
70001,140,291
70003,140,10
96102,141,10
96104,141,132
96108,141,10
63320,143,291
63321,143,225
63322,143,35
63323,143,121
96111,144,132
96115,144,10
6682,145,95
6685,145,163
28393,146,370
53653,147,338
107660,147,363
107661,147,338
107662,147,84
132111,147,289
135473,147,84
47864,147,429
142837,147,429
125902,148,156
126187,148,161
141348,148,216
23819,149,163
70006,150,10
70009,150,10
130837,150,25
69529,151,291
69531,151,95
18672,152,163
70498,153,10
70502,153,10
18595,154,10
26213,155,216
107381,155,619
133842,155,188
61788,157,10
61790,157,65
61791,157,100
130927,157,42
7285,159,6
31120,160,3
31121,160,25
21860,161,163
21861,161,291
129320,161,726
86378,162,10
86379,162,10
86385,162,100
136806,162,100
111955,163,10
130928,163,42
83645,164,291
79754,165,735
126617,165,186
126833,165,589
129729,165,735
589,166,108
24707,167,291
24710,167,163
24060,168,291
24063,168,163
81264,169,35
79759,170,735
126618,170,186
126834,170,589
54366,171,150
83975,172,100
83976,172,473
136807,172,100
70412,172,429
142838,172,429
31156,174,65
31157,174,245
89248,175,10
89249,175,10
112982,176,735
129730,176,735
64521,177,164
134850,177,749
139967,177,364
69842,178,735
69845,178,157
129731,178,735
78541,179,735
126835,179,589
129732,179,735
89253,180,10
83649,182,291
60625,183,10
60626,183,10
60627,183,20
60629,183,245
60630,183,245
60636,183,99
131714,183,678
131715,183,678
132112,183,289
146578,183,242
60640,184,10
60641,184,10
60643,184,245
60644,184,245
60649,184,99
131716,184,678
132113,184,289
134287,184,477
146579,184,242
65864,185,735
130370,185,43
79763,186,735
126836,186,589
129733,186,735
136595,187,448
63593,187,448
63599,188,80
135077,188,80
70859,190,360
131339,190,447
70513,191,100
70588,192,90
136808,192,100
130371,192,43
70593,193,10
70595,193,90
83659,194,291
83663,194,245
73323,195,90
25431,196,245
25432,196,90
30036,197,245
30029,198,245
30018,199,245
51021,200,10
51022,200,10
51025,200,245
51026,200,245
51030,200,60
131340,200,447
132114,200,289
27766,202,245
27768,202,99
27769,202,101
125626,202,145
129321,202,726
595,203,20
111963,203,10
130929,203,42
111967,204,10
79767,205,735
126837,205,589
99212,206,338
131197,206,338
61916,207,20
61919,207,245
61920,207,245
61925,207,99
61926,207,100
61927,207,10
61928,207,10
61933,207,129
136809,207,100
132115,207,289
130930,209,42
22333,210,163
53665,211,20
53666,211,245
53667,211,245
53671,211,99
132116,211,289
135474,211,84
53674,212,20
53675,212,245
53676,212,245
53680,212,99
132117,212,289
144211,212,163
14439,213,10
14442,213,100
14444,213,291
146451,213,697
14452,214,10
14455,214,100
14457,214,152
14458,214,159
14459,214,291
128006,214,255
131678,214,461
137907,214,254
138229,214,693
139968,214,364
14460,215,10
14465,215,291
134288,215,477
14466,216,10
14471,216,159
14472,216,291
131679,216,461
14475,217,10
136757,217,679
129322,217,726
14492,218,10
14495,218,55
14497,218,100
133553,218,441
14503,219,10
142419,219,429
16218,219,429
142839,219,429
14523,220,10
14527,220,100
16226,220,429
142840,220,429
14533,221,10
125134,221,281
129323,221,726
16242,221,429
142841,221,429
14542,222,10
14543,222,10
14547,222,105
14548,223,10
14552,223,55
14553,223,100
133554,223,441
134259,223,576
60825,224,301
116601,225,726
116602,225,157
129324,225,726
139682,225,157
96117,226,132
96121,226,10
128431,226,652
94774,227,157
124700,227,11
134289,227,477
94777,228,157
124701,228,11
134290,228,477
94781,229,100
94782,229,157
124702,229,11
134291,229,477
94786,230,157
124703,230,11
129734,230,735
134292,230,477
94790,231,652
94791,231,157
124704,231,11
134293,231,477
95913,232,157
95957,233,157
124705,233,11
134294,233,477
95960,234,164
134295,234,477
137936,234,718
134296,235,477
95966,236,157
134297,236,477
95969,237,652
95970,237,100
124706,237,11
134298,237,477
139683,237,157
95973,238,164
95974,238,157
133367,238,421
134299,238,477
129735,239,735
133368,239,421
95980,240,164
124707,240,11
95984,241,164
95988,242,164
65158,243,150
65159,243,100
55670,243,429
142842,243,429
11841,244,96
11842,244,130
11843,244,132
134300,244,477
139435,244,821
65162,245,80
65163,245,25
65164,245,100
131191,245,363
65168,246,338
65169,246,80
65170,246,100
55679,246,429
142843,246,429
65174,247,121
65175,247,84
65179,249,121
65183,250,121
65185,250,84
65189,251,92
139969,251,364
132118,252,289
65194,253,92
125469,253,342
139970,253,364
65198,254,92
125470,254,342
139971,254,364
65205,255,84
128731,255,4
128732,257,4
110330,258,4
110332,258,84
128733,258,4
135475,258,84
125471,259,342
139972,259,364
139973,261,364
139974,262,364
86589,264,10
130412,264,515
6686,267,10
6689,267,47
6690,267,121
39382,271,84
65257,273,225
65259,273,355
70011,274,10
70013,274,132
70015,274,10
127839,274,11
65260,275,225
65262,275,25
65264,275,355
38595,278,87
38596,278,432
65277,280,202
6377,281,35
6379,281,84
6380,281,100
6382,281,163
6383,281,164
6386,281,652
65282,282,84
128734,282,4
65286,283,355
124599,284,786
90371,284,22
90374,284,72
90375,284,72
90378,284,157
127549,284,234
127965,284,22
131717,284,678
134301,284,477
139684,284,157
65295,286,355
51708,288,35
51710,288,84
51713,288,429
135476,288,84
46544,288,429
142844,288,429
124478,291,8
42671,291,8
42672,291,275
42680,291,45
42683,291,289
42684,291,421
42687,291,25
42688,291,245
42689,291,245
42694,291,216
42695,291,129
42896,291,442
125627,291,145
130372,291,43
130931,291,42
131277,291,412
132119,291,289
133369,291,421
134851,291,749
135477,291,84
138519,291,635
141349,291,216
141350,291,216
144212,291,163
145693,291,126
3657,295,157
3658,295,163
3659,295,11
134302,295,477
65325,297,150
65327,298,225
10011,299,10
10015,299,95
10018,299,148
10021,299,249
129052,299,303
131718,299,678
65330,300,225
65334,301,225
65346,304,84
128735,304,4
8657,305,157
8658,305,164
8659,305,11
65348,306,314
65350,306,35
65352,306,84
128736,306,4
65355,307,225
65358,307,355
65360,309,225
65364,310,225
93491,311,10
93492,311,536
141351,311,216
65368,312,225
65375,313,90
51714,314,10
51719,314,245
51720,314,448
51721,314,370
51722,314,10
65378,315,90
65381,316,90
65383,316,107
65387,317,108
23841,318,291
23843,318,163
65391,319,108
65395,320,108
21863,322,163
21864,322,291
65404,323,202
7294,325,6
7296,325,58
131480,325,58
21262,326,35
21267,326,652
21268,326,225
25948,327,216
141352,327,216
89257,328,10
364,329,121
78001,329,84
78002,329,100
133370,329,421
213,330,82
87271,330,82
93505,332,10
126188,332,161
144213,332,163
125903,333,156
136681,333,95
126189,333,161
128432,333,652
144214,333,163
36382,334,536
36384,334,100
125904,334,156
126190,334,161
128433,334,652
136810,334,100
139975,334,364
144215,334,163
29901,335,163
29924,335,652
29925,335,150
128434,335,652
136811,335,100
131481,335,58
68324,336,536
68325,336,58
68327,336,150
125905,336,156
126191,336,161
128435,336,652
139976,336,364
144216,336,163
23114,337,10
85432,338,100
51853,339,100
139977,339,364
14561,340,58
14563,340,100
15371,341,10
15373,341,35
129325,341,726
96123,342,132
23821,343,10
23822,343,163
24713,344,163
30866,345,245
116311,347,726
129326,347,726
73947,348,291
65481,349,735
65485,349,157
129736,349,735
69847,350,419
69848,350,157
78565,351,735
126619,351,186
126838,351,589
129737,351,735
82377,352,735
126620,352,186
126839,352,589
77083,353,735
77087,353,157
126621,353,186
126840,353,589
129738,353,735
68331,355,10
127312,355,536
144217,355,163
144218,355,163
68337,356,10
68338,356,536
125906,356,156
128436,356,652
144219,356,163
15626,357,35
15629,357,209
65868,358,735
129739,358,735
30868,361,245
16292,362,289
144220,362,163
146580,362,242
79784,365,735
126622,365,186
126841,365,589
60847,367,10
112779,367,735
129740,367,735
130932,368,42
130933,369,42
130934,370,42
110968,371,635
110969,371,10
116314,372,726
129327,372,726
137926,372,216
126842,373,589
81842,374,10
81843,374,10
73723,375,10
124428,376,490
36387,376,10
36389,376,536
36391,376,100
136664,376,748
139213,376,328
139978,376,364
141353,376,216
144221,376,163
19851,377,65
104915,377,401
138859,377,401
63603,378,147
63605,378,90
47049,379,342
47050,379,225
47053,379,45
47054,379,202
47057,379,245
47063,379,129
125472,379,342
127045,379,225
130310,379,767
135478,379,84
47070,380,7
47074,380,45
47075,380,245
47076,380,245
47080,380,100
127608,380,137
136812,380,100
47086,381,45
47087,381,289
47092,381,245
126192,381,161
128007,381,255
132120,381,289
47099,382,225
47102,382,45
47105,382,245
127046,382,225
47116,383,35
47120,383,45
47122,383,245
132121,383,289
135479,383,84
47133,384,45
47138,384,245
47141,384,130
132122,384,289
134852,384,749
135480,384,84
47146,385,82
47147,385,45
47150,385,245
132123,385,289
47162,386,275
47163,386,45
47165,386,245
47166,386,245
132124,386,289
100311,387,572
47171,388,10
47172,388,10
47176,388,35
47177,388,45
47181,388,202
47183,388,84
47184,388,245
47188,388,100
47191,388,465
136813,388,100
132125,388,289
133855,388,202
135481,388,84
47192,389,225
47195,389,45
47197,389,245
47203,389,301
127047,389,225
136814,389,100
132126,389,289
47205,390,22
47209,390,45
47211,390,245
47216,390,100
127966,390,22
132127,390,289
47220,391,10
47221,391,10
47225,391,45
47227,391,245
47233,391,10
132128,391,289
47237,392,7
47243,392,45
47245,392,245
47250,392,100
136815,392,100
132129,392,289
47253,393,10
47254,393,10
47255,393,225
47258,393,45
47261,393,84
47262,393,245
47263,393,245
127048,393,225
127481,393,780
128737,393,4
132130,393,289
135482,393,84
47269,394,225
47271,394,45
47276,394,245
47277,394,90
127049,394,225
132131,394,289
47882,395,45
47883,395,245
47897,395,82
132132,395,289
50064,396,338
50066,396,84
50067,396,473
45420,396,429
142845,396,429
79791,397,735
126623,397,186
126843,397,589
70579,398,163
32026,400,35
32029,400,58
32033,400,216
113402,400,50
113403,400,50
113405,400,572
113406,400,335
141354,400,216
53683,401,20
53684,401,245
53685,401,245
53689,401,99
132133,401,289
144222,401,163
146581,401,242
60653,402,10
60654,402,10
60655,402,20
60660,402,245
60661,402,245
60667,402,99
60668,402,10
60669,402,10
131719,402,678
131720,402,678
132134,402,289
144223,402,163
144224,402,163
144225,402,163
146582,402,242
124708,403,11
2880,403,11
136816,403,100
7122,405,10
7123,405,536
7124,405,100
7125,405,150
7126,405,163
73191,406,735
129741,406,735
53692,407,15
53693,407,20
53696,407,338
53697,407,338
53698,407,245
53699,407,245
53704,407,99
132135,407,289
135483,407,84
47882,407,429
142846,407,429
60675,409,20
60677,409,245
60678,409,245
60683,409,99
131721,409,678
132136,409,289
144226,409,163
146583,409,242
86397,410,84
86398,410,100
86399,410,130
136817,410,100
134853,410,749
135484,410,84
15376,411,25
81277,413,25
60687,414,10
60688,414,10
60689,414,20
60691,414,245
60692,414,245
60697,414,99
132137,414,289
134303,414,477
134304,414,477
144227,414,163
146584,414,242
21681,415,10
21682,415,163
130935,416,42
53713,417,20
53715,417,245
53716,417,245
53720,417,99
136682,417,95
132138,417,289
144228,417,163
146585,417,242
37576,418,10
133555,418,441
130936,419,42
1549,419,429
142847,419,429
130937,420,42
81850,421,10
81851,421,10
611,422,47
130938,422,42
18678,424,338
141355,425,216
83684,426,335
71831,428,10
71834,428,10
71837,428,129
38647,429,35
38651,429,346
38653,429,355
38654,429,216
114733,429,15
114734,429,775
125628,429,145
141356,429,216
141357,429,216
144229,429,163
4517,431,11
56507,432,10
56508,432,170
56510,432,90
24542,433,163
70592,436,10
138179,436,754
328,437,108
26781,437,10
26782,437,10
26785,437,164
26786,437,95
124665,438,170
93545,438,536
128437,438,652
134997,438,421
211,439,82
87290,439,10
87291,439,82
93553,440,10
93554,440,536
139979,440,364
36395,441,536
36397,441,100
128438,441,652
144230,441,163
52935,443,84
125907,443,156
135485,443,84
142420,443,429
47312,443,429
142848,443,429
124255,444,451
35344,444,50
160,446,58
2889,447,11
37579,448,10
37581,448,47
37583,449,10
37587,449,47
85838,450,100
136818,450,100
60701,451,20
60707,451,245
60708,451,245
60713,451,99
132139,451,289
146586,451,242
6433,452,10
6436,452,95
6437,452,164
89272,453,10
9014,454,100
9015,454,130
9017,454,250
96129,456,132
96134,456,10
79495,457,8
144231,457,163
64526,458,164
48033,459,225
48035,459,35
139980,459,364
48246,460,90
92706,461,346
92707,461,473
92709,461,429
142421,461,429
77344,461,429
142849,461,429
40295,462,364
115596,462,775
115598,462,50
115599,462,50
115600,462,289
115601,462,473
132140,462,289
139981,462,364
38370,462,429
142850,462,429
36663,463,101
115257,463,50
115258,463,50
96137,464,132
96141,464,10
23117,465,10
23119,465,100
135078,465,80
66443,466,10
66444,466,163
112979,467,164
129742,467,735
37459,468,10
37460,468,10
80207,469,291
70019,470,10
70020,470,291
70021,470,10
70022,470,132
70026,470,10
66545,472,163
24714,474,291
24716,474,163
248,475,90
78865,475,10
78866,475,10
78867,475,10
78868,475,10
78870,475,225
16152,476,177
3090,477,11
254,478,90
7130,478,163
2226,479,163
1978,480,10
1982,480,163
3699,481,157
3700,481,11
129053,481,303
37589,482,321
130939,482,42
60852,483,735
112784,483,735
129743,483,735
33760,484,10
13557,485,10
112149,485,132
11293,486,10
11301,486,164
11304,486,177
11308,486,3
11309,487,10
11314,487,95
11317,487,164
11322,487,3
21684,488,10
21686,488,100
78147,489,10
78148,489,10
78149,489,10
78150,489,10
78159,489,102
78160,489,10
78161,489,10
78163,489,382
78164,489,364
136683,489,95
139982,489,364
141244,489,828
22335,490,100
22336,490,163
151,492,58
96144,493,132
96148,493,10
96150,494,10
96155,494,10
96159,495,132
107665,497,10
21687,498,163
614,499,47
130940,499,42
40624,500,84
115332,500,15
139983,500,364
38657,501,35
38662,501,346
38664,501,216
114735,501,50
114736,501,50
114737,501,572
114738,501,289
132141,501,289
141358,501,216
141359,501,216
8661,502,100
128298,502,285
37954,505,35
37958,505,84
37959,505,346
37961,505,364
114440,505,50
114441,505,50
114442,505,289
132142,505,289
135486,505,84
139984,505,364
141360,505,216
55512,506,10
124256,508,451
35347,508,35
55792,509,35
55796,509,364
55797,509,188
139985,509,364
141361,509,216
12417,510,209
137927,510,216
9018,511,100
9019,511,10
9021,511,177
1022,512,10
37464,514,10
37465,514,108
92713,515,346
128008,515,255
101833,516,101
86380,516,429
142851,516,429
92718,517,346
128009,517,255
51657,518,473
46501,518,429
142852,518,429
86238,519,429
142853,519,429
56915,520,20
56918,520,245
56919,520,245
56924,520,99
132143,520,289
135487,520,84
27323,521,291
139986,521,364
96172,523,132
96176,523,10
22342,524,10
22344,524,163
663,525,10
665,525,108
130941,525,42
68343,526,10
68346,526,652
128439,526,652
144232,526,163
51661,527,338
51664,527,429
142422,527,429
46504,527,429
142854,527,429
74646,528,10
74647,528,525
125843,528,525
37971,529,364
114445,529,50
114446,529,50
114447,529,289
114450,529,346
125590,529,144
132144,529,289
135488,529,84
37979,530,346
37980,530,364
114452,530,50
114453,530,50
114454,530,289
125591,530,144
132145,530,289
135489,530,84
139987,530,364
112983,531,735
37596,532,120
37597,532,163
82745,533,421
82746,533,65
82748,533,364
133371,533,421
139988,533,364
37598,534,47
130942,534,42
22118,535,10
22120,535,100
7283,536,137
117070,536,84
117073,536,364
139989,536,364
24717,537,291
24718,537,100
24720,537,163
117077,538,377
117079,538,364
128738,538,4
139990,538,364
141362,538,216
34619,539,99
34620,539,107
138884,539,107
1444,540,170
134003,541,708
76633,541,429
142855,541,429
30218,542,10
30220,542,200
30221,542,132
30222,542,164
30225,542,152
30388,542,3
125135,542,281
129054,542,303
133556,542,441
96178,543,10
138082,543,159
146452,543,697
48039,544,8
162,545,58
4397,546,11
4400,546,536
4402,546,100
4403,546,120
4404,546,150
4405,546,164
125136,546,281
134305,546,477
7133,547,163
138230,547,693
124257,549,451
35351,549,35
139991,550,364
22941,551,10
22943,551,163
35367,552,346
35368,552,10
35369,552,122
35370,552,204
23824,553,100
23825,553,10
18929,554,100
18930,554,249
104089,554,137
104092,554,652
104093,554,401
127609,554,137
128440,554,652
138860,554,401
139214,554,328
66556,555,84
121190,555,85
126193,555,161
128739,555,4
135242,555,82
63622,556,10
63626,556,80
63627,556,25
18937,557,157
18938,557,652
18939,557,191
104097,557,275
104098,557,281
104102,557,327
104103,557,29
104105,557,321
104106,557,80
125137,557,281
125138,557,281
128441,557,652
139215,557,328
139685,557,157
24064,558,291
124258,559,451
58852,559,35
58857,559,321
25134,560,90
142423,560,429
26836,560,429
142856,560,429
19864,561,65
19865,561,100
104929,561,200
104932,561,321
104933,561,652
104936,561,401
128442,561,652
138861,561,401
81868,562,10
