id,description,,
409,Pólvora,,
105,Postrimerías,,
360,Predicación,,
455,Pretendiente,,
561,Prisión,,
107,Procesión,,
370,Profeta,,
564,Protestantes,,
213,Pueblo,,
802,Puerto,,
545,Púlpito,,
108,Purgatorio,,
815,Ramo de flores,,
816,Rebelión / sublevación,,
817,Recibimiento,,
662,Regla,,
569,Reina,,
373,Reliquia,,
361,Reloj de arena,,
326,Rendición,,
597,Rescate,,
332,Reunión,,
328,Río,,
113,Riqueza,,
408,Ritual,,
620,Rosa,,
821,Rueda arpada,,
116,Sacramentos,,
824,Sanedrín,,
382,Santo Sudario,,
826,Sierra,,
478,Silueta,,
766,Sofá,,
120,Sol y luna,,
157,Soldados,,
364,Sombrero,,
350,Sombrilla,,
828,Sudario ,,
121,Sueño,,
189,Tablas,,
122,Taller,,
829,Tambor,,
355,Tapete / tapiz,,
188,Tejer / telar / rueca y huso,,
216,Telas,,
483,Tempestad,,
809,Terremoto,,
765,Tetera,,
191,Tiendas de campaña,,
830,Tijeras,,
429,Tintero y pluma,,
831,Tocado,,
396,Tocador,,
833,Tratado,,
163,Túnica,,
834,Turbante,,
746,Uniforme militar,,
813,Universidad,,
633,Vaca,,
126,Vanidad,,
366,Vaso,,
242,Velo,,
757,Vendas,,
250,Verdugo,,
793,Vestiduras eclesiásticas,,
613,Vida conventual,,
788,Vida ejemplar / venerable,,
697,Violín,,
129,Visión,,
596,Visita,,
372,Volcán,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
