id,Lugar,latitud,longitud,,
1560,Capela da Fazenda Boa Esperança (Belo Vale),-20.41127473,-43.98161087,,
1191,Capela da Fazenda Santo Antônio (São Roque),-23.50094838,-47.08895998,,
1637,Capela da Santíssima Trinidade (Tiradentes),-21.11264488,-44.18254495,,
1188,Capela Do Bon Jesu de São Miguel e Almas (Ouro Preto),-20.38200092,-43.51605537,,
1175,Capela Dourada (Recife),-8.06145283,-34.87733911,,
505,Capella da Ordem Terceira de Nossa Senhora da Conceição da Boa Morte (Rio de Janeiro),-22.90219474,-43.17706007,,
1066,Capilla de la Casa-Hacienda San Cristóbal (Acomayo),-13.9191733,-71.681934,,
1017,Capilla de la Expiración (Tulancingo),20.07729117,-98.35779451,,
1062,Capilla de la Hacienda Calapuja (Calapuja),-15.31003371,-70.22179486,,
849,Capilla de la Merced (Celaya),20.5234678,-100.817651,,
889,Capilla de la Tercera Orden (Cholula),19.0624848,-98.30394917,,
178,Capilla de la Tercera Orden (La Paz),-16.49644481,-68.13818275,,
899,Capilla de la Tercera Orden Franciscana (Atlixco),18.91052372,-98.43636455,,
79,Capilla de la Tercera Orden Franciscana (Izucar de Matamoros),18.59967689,-98.46465957,,
218,Capilla de la Tercera Orden Franciscana (Oaxaca),17.05675752,-96.72528368,,
1941,Capilla de la Trinidad (Bonza),5.826271594,-73.07845295,,
1113,Capilla de los Dolores (San Pedro Cholula),19.06140363,-98.30909724,,
2,Capilla del Corazón de María (Puebla),19.0535131,-98.20248126,,
52,"Capilla del Divino Maestro (Mérida, Yuc.)",20.96737398,-89.62192979,,
1436,Capilla del Refugio (Chapala),20.30051073,-103.1919449,,
1806,Capilla del Sagrario (Bogota),4.597944185,-74.07559151,,
1018,Capilla del Sagrario (Chiautempan),19.29131957,-98.2075694,,
155,Capilla del Sagrario Metropolitano (Puebla),19.04286548,-98.19791397,,
453,Capilla Jesús Nazareno (Oropesa),-13.5965726,-71.75693382,,
1415,Capilla La Asunción (Pachuca),20.12956973,-98.7301094,,
2122,Capilla Merced de las huertas (CdMx),19.451312,-99.172959,,
597,Capilla Nuestra Señora de Aránzazu - Iglesia san Francisco (CdMx),19.433757,-99.14013587,,
306,Capilla Nuestra Señora de Aránzazu (San Luis Potosí),22.14940651,-100.9791516,,
536,Capilla Nuestra Señora de Chiquinquirá (La Ceja),6.028022013,-75.43159748,,
173,Capilla Nuestra Señora de Chiquinquirá (Rionegro),6.144852042,-75.4476887,,
1352,Capilla Nuestra señora de Loreto - hacienda jesuíta de Arroyozarco (Arrollozarco),20.10690041,-99.72615824,,
339,Capilla Nuestra Señora de los Dolores (Caicay),-13.59726182,-71.69664462,,
343,Capilla Nuestra Señora de los Dolores (Puebla),19.07292285,-98.21048391,,
2000,Capilla Nuestra señora de los Dolores y san José (El Retiro),6.06173471,-75.50237773,,
277,Capilla Nuestra Señora del Rosario (Tlayacapan),18.9567283,-98.9868432,,
234,Capilla Real de los Naturales (en convento San Gabriel) (San Pedro Cholula),19.06296176,-98.30354138,,
1291,Capilla San Andresito (San Andrés Cholula),19.04999396,-98.30184105,,
863,Capilla san Diego de Alcalá (Tlaxcala),19.32430227,-98.23148176,,
1984,Capilla san Juan de Dios (Pamplona),7.376292436,-72.65036371,,
1244,Capilla san Lorenzo (Tlapujahua),19.80372201,-100.1905667,,
486,Capilla san Roque - convento san Francisco (Buenos Aires),-34.60439055,-58.37219446,,
381,Capilla santa Ana (Maracaibo),10.64320754,-71.60542685,,
838,Capilla santa Anita (CdMx),19.62032099,-99.3239851,,
1200,Capilla Santa Bárbara (San Salvador de Jujuy),-24.1865404,-65.3069749,,
1153,Capilla Santa Bárbara (Santa Bárbara),-19.9615478,-43.4131606,,
1820,Capilla santa Bárbara (Tabio),4.920306265,-74.09668538,,
1128,Capilla santa Casa de Loreto (San Miguel de Allende),20.9170008,-100.7423423,,
65,Capilla Santo Cristo del Humiladero (Patzcuaro),19.52058015,-101.596899,,
765,Capilla Virgen purificada de Canincunca (Huaro),-13.68731172,-71.63544594,,
738,Capilla y Casa de ejercicios de la Tercera Orden Franciscana (Lima),-12.04545778,-77.02529528,,
367,Casa Arzobispal (Pamplona),7.375690188,-72.64881643,,
2051,Casa de don Juan Esteban Martínez y Ferreiro (Santa Fe de Antioquia),6.557326918,-75.82745456,,
1448,Casa de Ejercicios  (Buenos Aires),-34.61654305,-58.3827973,,
294,Casa de ejercicios del Valle del Señor de la Misericordia (Guadalajara),20.56137857,-103.3486048,,
962,Casa de Elena y Fausto Burgos (San Rafael),-34.61248214,-68.33658451,,
1304,Casa de la acción católica (San Luis Potosí),22.15166417,-100.9795242,,
1068,Casa de la Calle Arones (Cuzco),-13.51724413,-71.98244916,,
2042,Casa de la convención (Ríonegro),6.154572404,-75.37225385,,
881,Casa de la Cultura (San Luis de Potosí),22.14850675,-101.0033583,,
921,Casa de la Cultura Ecuatoriana (Quito),-0.2098117232,-78.49513201,,
2078,Casa de la Cultura Núcleo del Azuay (Cuenca),-2.89802954,-79.00389115,,
334,"Casa de la Cultura Oaxaqueña (antes Iglesia los Siete Principes, Oaxaca)",17.05719931,-96.71990473,,
1563,Casa de la Cultura Qawinaqel (Mixco),14.63797642,-90.60935294,,
681,Casa de la Libertad (Sucre),-19.04726966,-65.26011172,,
1886,Casa de Nariño (Bogotá),4.59619132,-74.07775734,,
176,Casa de oración y centro espiritualidad Carmelita Maranathá (Valle de Bravo),19.2256603,-100.126088,,
2147,Casa del Deán (Puebla),19.04279325,-98.19975186,,
1811,Casa del Escribano don Juan Vargas (Tunja),5.532947964,-73.36030012,,
1857,Casa del Fundador Gonzalo Suárez Rendón (Tunja),5.532580591,-73.36100327,,
508,Casa Leona Vicario (CdMx),19.43924728,-99.13329524,,
42,Casa Magdalena Arte (Puebla),19.04351695,-98.19807971,,
2048,Casa Mosquera (Popayán),2.443941987,-76.60469183,,
154,Casa Museo de Benito Juárez (Oaxaca),17.06827072,-96.72429545,,
1016,Casa museo Quinta de Bolivar (Bogotá),4.60328915,-74.06282018,,
369,Casa Natal del Libertador (Caracas),10.50536391,-66.9134335,,
890,Casa Norberto Ramírez (León),12.4348578,-86.88190202,,
1627,Casa Popenoe ( Antigua Guatemala),14.55691989,-90.72996617,,
431,Catedral Asunción de la Virgen (Jaen),37.7651737,-3.7898263,,
354,Catedral Asunción de la Virgen (Santiago),-33.4376122,-70.6513757,,
99,Catedral Asunción de la Virgen María (CdMx),19.4343942,-99.1330824,,
132,Catedral Asunción de María Santísima (Guadalajara),20.677034,-103.346984,,
286,Catedral Basílica Nuestra Señora de San Juan de los Lagos (San Juan de los Lagos),21.2454942,-102.3338626,,
1437,Catedral Corpus Christi (Tlalnepantla),19.5378537,-99.1948619,,
1112,Catedral de San Miguel Arcángel (Tegucigalpa) ,14.10573732,-87.2044311,,
1446,Catedral El Señor y la Virgen del Milagro (Salta),-24.7881606,-65.4104167,,
1196,"Catedral Igreja Compañía de Jesús (Salvador, Bahía)",-12.97260166,-38.51052478,,
293,Catedral Inmaculada Concepción (Arequipa),-16.3981179,-71.5366937,,
802,Catedral Inmaculada Concepción (Durango),24.0250683,-104.6703519,,
1848,Catedral Inmaculada Concepción (Medellín),6.254002,-75.563967,,
390,"Catedral Inmaculada Concepción (Mérida, Vn)",8.5971388,-71.1438486,,
2039,Catedral Inmaculada Concepción (Santa Fe de Antioquia),6.5567976,-75.8275737,,
540,Catedral Inmaculada Concepción (Texcoco),19.5134672,-98.8836544,,
156,Catedral Inmaculada Concepción (Xalapa),19.5277135,-96.9230093,,
129,Catedral Inmaculada Concepción (Zamora),19.9837282,-102.2853179,,
528,Catedral Inmaculada Concepción de la Virgen (La Habana),23.1413696,-82.3519084,,
1814,Catedral Inmaculada Concepción y san Pedro (Bogotá),4.5972806,-74.0747822,,
435,Catedral Juan Evangelista y museo (Lima),-12.0467484,-77.0297099,,
287,Catedral La Asunción (Cuernavaca),18.9204504,-99.2368539,,
1198,Catedral Matriz de São Salvador do Mundo (Olinda),-8.0138511,-34.8489973,,
704,Catedral Metropolitana de Quito (Quito),-0.2204725,-78.5125725,,
748,Catedral Metropolitana de San Sebastián (Cochabamba),-17.39426293,-66.15653323,,
1561,Catedral Nossa Senhora da Assunção (Mariana),-20.3779808,-43.4165813,,
424,Catedral Nuestra Señora de Guadalupe - Museo (Sucre),-19.0488211,-65.2599672,,
254,Catedral Nuestra Señora de la Anunciación (Asunción),25.2814377,-57.6326264,,
58,Catedral Nuestra señora de la Asunción (Aguascalientes),21.8805598,-102.2972752,,
195,Catedral Nuestra Señora de la Asunción (Oaxaca),17.0615736,-96.7252053,,
822,Catedral Nuestra Señora de la Asuncion (Tlaxcala),19.313867,-98.2379148,,
1108,Catedral Nuestra Señora de la Candelaria y san Antonio (Humahuaca),-23.2040399,-65.3489998,,
336,Catedral Nuestra señora de la Encarnación (Santo Domingo),18.4728727,-69.8839259,,
1427,Catedral Nuestra Señora de la Expectación (San Luis Potosí),22.1519836,-100.9752869,,
537,Catedral Nuestra Señora de la Paz - museo (La Paz),-16.4962645,-68.1341053,,
168,Catedral Nuestra Señora Inmaculada Concepción (Puebla),19.0428904,-98.1983291,,
805,Catedral Nueva Inmaculada Concepción (Cuenca),-2.8974035,-79.005349,,
196,Catedral san Agustín (Tlapa),17.5485315,-98.5818726,,
395,Catedral san Buenaventura (Cuautitlán),19.6689607,-99.1793789,,
494,Catedral san Carlos Borromeo (Puno),-15.8410316,-70.0289597,,
77,Catedral san Clemente (Tenancingo),18.965363,-99.593519,,
32,Catedral san Cristóbal (San Cristóbal de las Casas),16.7375779,-92.6377742,,
10,"Catedral san Ildefonso (Mérida, Mx)",20.9672209,-89.6228785,,
276,Catedral san José (Antigua),14.5567716,-90.7330175,,
1316,Catedral san José (Toluca),19.2918265,-99.6572516,,
114,Catedral san José (Tula),20.0555423,-99.3435227,,
1418,Catedral san Juan Bautista (Tulancingo),20.0805441,-98.3678916,,
939,Catedral san Lorenzo (Duitama),5.828455298,-73.03421236,,
31,Catedral san Marcos (Tuxtla Gutiérrez),16.753114,-93.1155092,,
1926,Catedral san Nicolás el Magno (Rionegro),6.1534737,-75.3737124,,
353,Catedral san Pedro (Buga),3.8993992,-76.3025581,,
2005,Catedral san Pedro (Cali),3.451199,-76.5326317,,
783,Catedral san Pedro (Riobamba),-1.67234961,-78.64800498,,
1682,Catedral san Pedro y san Pablo (Maracaibo),10.6419039,-71.6071888,,
927,"Catedral san Salvador (Salvador, Bahía)",-12.9728524,-38.5104603,,
1263,Catedral san Salvador (San Salvador de Jujuy),-24.1855635,-65.3004806,,
117,Catedral santa Ana (Caracas),10.5062481,-66.9140232,,
1860,Catedral santa Clara (Pamplona),7.3758336,-72.6486115,,
792,Catedral Santa María (Ayacucho),-13.1606284,-74.225214,,
1224,Catedral Santa María (Trujillo),-8.1106649,-79.0281991,,
2010,Catedral Santiago Apóstol (Fontibón),4.673975112,-74.14377837,,
1341,Catedral Santiago apóstol (Saltillo),25.4215924,-100.9996977,,
