id,name
1,Imagen dentro de la imagen
2,Personaje colectivo
3,Personaje individual
4,Género masculino
5,Género femenino
6,Edad: niñez
7,Edad: adolescencia-juventud
8,Edad: adulto
9,Edad: anciano
10,Personaje: desnudo parcial / total
11,Personaje: contacto corporal
12,Presencia: niños
13,Presencia: animales
14,Género masculino/femenino
15,Escena: simple
16,Escena: compuesta
17,Personajes: sagrados y profanos
18,Personajes: profanos
19,Personajes: sagrados
